epoch,train_loss,original_auc,original_ap,jpeg50_auc,jpeg50_ap,resize112_auc,resize112_ap,blur2_auc,blur2_ap,robust_val_auc,robust_val_ap,original_loss
1,0.611278424429339,0.7702947060634042,0.7922596742300512,0.7633502616189598,0.7716734777935403,0.7182594644506001,0.7222505918917329,0.5926438904278241,0.604108936665164,0.7111370806401971,0.7225731701451221,0.5871906040007608
2,0.5862848883451417,0.7056979070483226,0.6763634591590357,0.6882887042166821,0.6261438223194234,0.645294706063404,0.5845114923572698,0.561230378578024,0.5657947075774212,0.6501279239766082,0.6132033703532875,0.6338416066086083
3,0.6088232924771864,0.7699484456755925,0.805680233305718,0.7731802092951676,0.7864972456885316,0.7299553708833488,0.7435562717406603,0.6124576792859341,0.6030426814305306,0.7213854262850108,0.7346941080413601,0.5833198271299663
4,0.5994020263816036,0.7687365343182517,0.8044814732385523,0.7734110495537088,0.7848597670413138,0.7292820867959372,0.7534747126985923,0.6291743613419514,0.6202925901825098,0.7251510080024622,0.7407771357902422,0.5718743518779152
5,0.5849585172741912,0.7780663281009541,0.7995998563274789,0.7772968605724838,0.7861384751142865,0.7559056632810095,0.7611264762463174,0.6128712680824868,0.5995345320553944,0.7310350300092336,0.7365998349358693,0.5501307573234826
6,0.5825712355070336,0.7663127116035704,0.7991911562098644,0.768563404124346,0.7762934128821775,0.6623191751308095,0.6394266554513082,0.5501115727916283,0.5694668691218286,0.6868267159125885,0.6960945234162946,0.5797260853282192
7,0.5806197780509328,0.7774699907663897,0.8030534539329999,0.7842413050169281,0.7922061194003599,0.7542897814712219,0.7687505884148151,0.5996460449369037,0.5881185585075226,0.7289117805478609,0.7380321800639245,0.5536900549604181
8,0.5766621197378913,0.7661203447214526,0.8015970122408511,0.7691405047706987,0.777993455214307,0.6921360418590337,0.6867371049558239,0.5657798553401047,0.5735134108153942,0.6982941866728224,0.7099602458065941,0.5696105486468265
9,0.5771660686925401,0.7793359495229302,0.8006294707527142,0.7711411203447215,0.7788129076172529,0.7450369344413665,0.742682465624257,0.6322137580794092,0.6303326976647324,0.7319319405971068,0.7381143854147392,0.5636566197663023
10,0.5694172091262285,0.7798553401046475,0.8018774950916792,0.7754309018159433,0.783084224939228,0.7341874422899355,0.7349425142295885,0.5979147429978455,0.5872013540370935,0.7218471068020931,0.7267763970743972,0.6018324442077101
11,0.5668006324490835,0.7768928901200369,0.8059981573503219,0.7604070483225608,0.7676554264392097,0.709160510926439,0.7142345809888935,0.6046860572483841,0.5886540626257976,0.7127866266543552,0.7191355568510557,0.5947305079092059
12,0.5789012250512146,0.7837603878116343,0.8044997660831661,0.7810480147737767,0.7889850185648545,0.7417474607571559,0.7474165838471029,0.589065866420437,0.5844350073501358,0.7239054324407509,0.7313340939613148,0.5758602640085053
13,0.5740792938443118,0.7712757771622039,0.7715816904606697,0.7671014158202525,0.7653939481171212,0.6649738381040321,0.6353400779051412,0.5460141582025239,0.5531451007693411,0.6873412973222531,0.6813652043130684,0.5826812229658428
14,0.5660299492436786,0.7801054170514005,0.8049214373711286,0.7793551862111419,0.7857200891812568,0.7050630963373345,0.6979114251317718,0.5672129886118806,0.5737589458751535,0.7079341720529393,0.7155779743898277,0.5482009419223719
15,0.5540261830008307,0.7818367189904586,0.80608317240996,0.7739304401354263,0.7805898429578956,0.7377269929208987,0.7342197066623273,0.6139004309018159,0.5983717066991063,0.7268486457371499,0.7298161071823224,0.6247988102728861
16,0.5548830094725586,0.7070252385349337,0.6889604272113801,0.6602031394275162,0.6050126323729068,0.6269236688211758,0.5702976029324136,0.5473607263773469,0.5659640666572816,0.6353781932902431,0.6075586822934955,0.6476553218406543
17,0.5789016332737235,0.786568944290551,0.8092759142328552,0.7794513696522007,0.7875983877889658,0.7590989535241612,0.7584123469653838,0.6272506925207756,0.6176644703551125,0.7380924899969221,0.7432377798355794,0.5566937233272352
18,0.568109484606011,0.7824522930132348,0.8116612602957638,0.7714873807325331,0.7814365828735006,0.710180055401662,0.690558513777711,0.5822368421052632,0.5804276537171222,0.7115891428131732,0.7160210026660245,0.603478799786484
19,0.5588961396106454,0.7730647891658973,0.8010671212221558,0.7840874115112342,0.7915888125808949,0.7071791320406279,0.690526123535474,0.5683479532163743,0.5770412114438004,0.7081698214835335,0.7150558171955812,0.5735220041191369
20,0.5715601977913879,0.7474030470914128,0.7340424983303852,0.7227031394275162,0.7076822513059005,0.5964719913819636,0.5773104396407194,0.5340489381348108,0.5582757258845412,0.650156779008926,0.6443277287903866,0.6359654476768092
21,0.5653462860473367,0.7891274238227147,0.8142489581932659,0.7855493998153278,0.791488312124886,0.7462103724222838,0.7467973738893796,0.6144198214835334,0.5990587995943004,0.7338267543859649,0.7378983609504579,0.5513988053589537
22,0.5550700460755548,0.7759887657740844,0.7531537472659351,0.7789896891351185,0.7763610150544824,0.670841028008618,0.6476041633482175,0.539569867651585,0.5508716637167336,0.6913473376423515,0.6819976473463422,0.6063097652636076
23,0.5385085288868394,0.776104185903355,0.806726455507059,0.7763542628501077,0.783159262702299,0.6955601723607264,0.6821503102788633,0.5607879347491536,0.5780590762006932,0.7022016389658357,0.7125237761722287,0.5782585792374193
24,0.5477399327034174,0.7713719606032625,0.8045269406679362,0.7716797476146506,0.7785657980212136,0.7116997537703909,0.7105050927676645,0.5748403354878424,0.5816565842436587,0.7073979493690367,0.7188136039251183,0.6436386924040945
25,0.5512944751007612,0.7718913511849801,0.7933536996118546,0.7596760541705139,0.7649405840975853,0.6703601108033241,0.6418151505213076,0.555517082179132,0.5681564632412109,0.6893611495844876,0.6920664743679896,0.5792709369408456
26,0.5454124378603559,0.7919936903662665,0.8152503454309928,0.7912626962142199,0.7965412234157957,0.7657548476454294,0.7667749576937326,0.6192386118805787,0.612515917406899,0.7420624615266237,0.747770610986855,0.5918362872642383
27,0.548601953096168,0.7885118497999384,0.802374665099016,0.7908010156971377,0.7935069355834187,0.7093528778085565,0.6942130382777726,0.5604224376731302,0.5717203593993805,0.7122720452446907,0.7154537495898969,0.5846517065115142
28,0.5519728889298994,0.7612149892274547,0.7753187323846865,0.7318213296398891,0.72468205890327,0.6658202523853493,0.6409215668484529,0.5625,0.564995012539626,0.6803391428131732,0.6764793426690088,0.6051190631431446
29,0.545792946288752,0.7882810095413973,0.8078645376553499,0.7586372730070792,0.7575427845355877,0.7251077254539857,0.7188390621011608,0.593509541397353,0.5891824711832305,0.7163838873499537,0.7183572138688321,0.6544619192156875
30,0.5577777963738109,0.7732571560480148,0.7583100144552162,0.7642543859649122,0.7627335609978618,0.7090066174207449,0.6796475265507365,0.5691174207448445,0.5693974674844801,0.7039088950446292,0.6925221423720735,0.6680750470412405
31,0.5351376381031302,0.7839527546937519,0.7927201488897666,0.7700446291166513,0.7719545435436613,0.7523276392736228,0.738710832072684,0.5939135118497999,0.5942687395695165,0.7250596337334565,0.724413566018907,0.8031363027137622
32,0.5301630372224853,0.49386349646044936,0.4744198919344847,0.4593336411203448,0.4600190089969449,0.5715027700831025,0.559780476690998,0.5303362573099415,0.5539470739434074,0.5137590412434595,0.5120416128914587,0.8549910794224655
33,0.5407436836597531,0.7830101569713759,0.7796570164618857,0.7733148661126501,0.7722664527279705,0.7398622653124038,0.7178720124864479,0.5875846414281316,0.5831679552417754,0.7209429824561404,0.71324085922952,0.632121669618707
34,0.5377330981021704,0.7661203447214527,0.7936792488538843,0.7243382579255154,0.7249472670439568,0.7318405663281009,0.7405867556625381,0.5965104647583871,0.5972281260417668,0.7047024084333641,0.7141103494005365,0.5888300412579587
