model,split,generator,condition,severity,recall,sample_count
MobileNetV3-Small,known_test,ADM,resize_160,mild,0.8771929824561403,57
MobileNetV3-Small,known_test,BigGAN,resize_160,mild,1.0,57
MobileNetV3-Small,known_test,GLIDE,resize_160,mild,0.9824561403508771,57
MobileNetV3-Small,known_test,SD15,resize_160,mild,0.8771929824561403,57
MobileNetV3-Small,known_test,ADM,resize_112,strong,0.9824561403508771,57
MobileNetV3-Small,known_test,BigGAN,resize_112,strong,1.0,57
MobileNetV3-Small,known_test,GLIDE,resize_112,strong,0.9824561403508771,57
MobileNetV3-Small,known_test,SD15,resize_112,strong,0.9824561403508771,57
MobileNetV3-Small,known_test,ADM,blur_sigma1,mild,0.9824561403508771,57
MobileNetV3-Small,known_test,BigGAN,blur_sigma1,mild,1.0,57
MobileNetV3-Small,known_test,GLIDE,blur_sigma1,mild,0.9824561403508771,57
MobileNetV3-Small,known_test,SD15,blur_sigma1,mild,0.9824561403508771,57
MobileNetV3-Small,known_test,ADM,blur_sigma2,strong,1.0,57
MobileNetV3-Small,known_test,BigGAN,blur_sigma2,strong,1.0,57
MobileNetV3-Small,known_test,GLIDE,blur_sigma2,strong,0.9824561403508771,57
MobileNetV3-Small,known_test,SD15,blur_sigma2,strong,1.0,57
MobileNetV3-Small,unseen_test,Midjourney,jpeg_q75,mild,0.7937062937062938,286
MobileNetV3-Small,unseen_test,VQDM,jpeg_q75,mild,0.43508771929824563,285
MobileNetV3-Small,unseen_test,Wukong,jpeg_q75,mild,0.8666666666666667,285
MobileNetV3-Small,unseen_test,Midjourney,jpeg_q50,strong,0.8601398601398601,286
MobileNetV3-Small,unseen_test,VQDM,jpeg_q50,strong,0.5228070175438596,285
MobileNetV3-Small,unseen_test,Wukong,jpeg_q50,strong,0.8912280701754386,285
MobileNetV3-Small,unseen_test,Midjourney,crop_90,mild,0.8321678321678322,286
MobileNetV3-Small,unseen_test,VQDM,crop_90,mild,0.32280701754385965,285
MobileNetV3-Small,unseen_test,Wukong,crop_90,mild,0.8280701754385965,285
MobileNetV3-Small,unseen_test,Midjourney,crop_75,strong,0.8601398601398601,286
MobileNetV3-Small,unseen_test,VQDM,crop_75,strong,0.3824561403508772,285
MobileNetV3-Small,unseen_test,Wukong,crop_75,strong,0.8596491228070176,285
MobileNetV3-Small,unseen_test,Midjourney,resize_160,mild,0.8776223776223776,286
MobileNetV3-Small,unseen_test,VQDM,resize_160,mild,0.47719298245614034,285
MobileNetV3-Small,unseen_test,Wukong,resize_160,mild,0.9192982456140351,285
MobileNetV3-Small,unseen_test,Midjourney,resize_112,strong,0.9965034965034965,286
MobileNetV3-Small,unseen_test,VQDM,resize_112,strong,0.9087719298245615,285
MobileNetV3-Small,unseen_test,Wukong,resize_112,strong,0.9859649122807017,285
MobileNetV3-Small,unseen_test,Midjourney,blur_sigma1,mild,0.993006993006993,286
MobileNetV3-Small,unseen_test,VQDM,blur_sigma1,mild,0.8982456140350877,285
MobileNetV3-Small,unseen_test,Wukong,blur_sigma1,mild,0.9894736842105263,285
MobileNetV3-Small,unseen_test,Midjourney,blur_sigma2,strong,1.0,286
MobileNetV3-Small,unseen_test,VQDM,blur_sigma2,strong,0.9859649122807017,285
MobileNetV3-Small,unseen_test,Wukong,blur_sigma2,strong,1.0,285
EfficientNet-B0,known_test,ADM,jpeg_q75,mild,0.8596491228070176,57
EfficientNet-B0,known_test,BigGAN,jpeg_q75,mild,0.9824561403508771,57
EfficientNet-B0,known_test,GLIDE,jpeg_q75,mild,1.0,57
EfficientNet-B0,known_test,SD15,jpeg_q75,mild,0.7368421052631579,57
EfficientNet-B0,known_test,ADM,jpeg_q50,strong,0.8070175438596491,57
EfficientNet-B0,known_test,BigGAN,jpeg_q50,strong,0.9298245614035088,57
EfficientNet-B0,known_test,GLIDE,jpeg_q50,strong,0.9649122807017544,57
EfficientNet-B0,known_test,SD15,jpeg_q50,strong,0.7017543859649122,57
EfficientNet-B0,known_test,ADM,crop_90,mild,0.8947368421052632,57
EfficientNet-B0,known_test,BigGAN,crop_90,mild,1.0,57
EfficientNet-B0,known_test,GLIDE,crop_90,mild,1.0,57
EfficientNet-B0,known_test,SD15,crop_90,mild,0.7368421052631579,57
EfficientNet-B0,known_test,ADM,crop_75,strong,0.8771929824561403,57
EfficientNet-B0,known_test,BigGAN,crop_75,strong,1.0,57
EfficientNet-B0,known_test,GLIDE,crop_75,strong,1.0,57
EfficientNet-B0,known_test,SD15,crop_75,strong,0.7894736842105263,57
EfficientNet-B0,known_test,ADM,resize_160,mild,0.9473684210526315,57
EfficientNet-B0,known_test,BigGAN,resize_160,mild,1.0,57
EfficientNet-B0,known_test,GLIDE,resize_160,mild,1.0,57
EfficientNet-B0,known_test,SD15,resize_160,mild,0.9122807017543859,57
EfficientNet-B0,known_test,ADM,resize_112,strong,1.0,57
EfficientNet-B0,known_test,BigGAN,resize_112,strong,1.0,57
EfficientNet-B0,known_test,GLIDE,resize_112,strong,1.0,57
EfficientNet-B0,known_test,SD15,resize_112,strong,0.9824561403508771,57
EfficientNet-B0,known_test,ADM,blur_sigma1,mild,1.0,57
EfficientNet-B0,known_test,BigGAN,blur_sigma1,mild,1.0,57
EfficientNet-B0,known_test,GLIDE,blur_sigma1,mild,1.0,57
EfficientNet-B0,known_test,SD15,blur_sigma1,mild,1.0,57
EfficientNet-B0,known_test,ADM,blur_sigma2,strong,1.0,57
EfficientNet-B0,known_test,BigGAN,blur_sigma2,strong,1.0,57
EfficientNet-B0,known_test,GLIDE,blur_sigma2,strong,1.0,57
EfficientNet-B0,known_test,SD15,blur_sigma2,strong,1.0,57
EfficientNet-B0,unseen_test,Midjourney,jpeg_q75,mild,0.8461538461538461,286
EfficientNet-B0,unseen_test,VQDM,jpeg_q75,mild,0.41754385964912283,285
EfficientNet-B0,unseen_test,Wukong,jpeg_q75,mild,0.8701754385964913,285
EfficientNet-B0,unseen_test,Midjourney,jpeg_q50,strong,0.8391608391608392,286
EfficientNet-B0,unseen_test,VQDM,jpeg_q50,strong,0.41403508771929826,285
EfficientNet-B0,unseen_test,Wukong,jpeg_q50,strong,0.856140350877193,285
EfficientNet-B0,unseen_test,Midjourney,crop_90,mild,0.8741258741258742,286
EfficientNet-B0,unseen_test,VQDM,crop_90,mild,0.38596491228070173,285
EfficientNet-B0,unseen_test,Wukong,crop_90,mild,0.9157894736842105,285
EfficientNet-B0,unseen_test,Midjourney,crop_75,strong,0.8881118881118881,286
EfficientNet-B0,unseen_test,VQDM,crop_75,strong,0.47017543859649125,285
EfficientNet-B0,unseen_test,Wukong,crop_75,strong,0.9263157894736842,285
EfficientNet-B0,unseen_test,Midjourney,resize_160,mild,0.916083916083916,286
EfficientNet-B0,unseen_test,VQDM,resize_160,mild,0.6280701754385964,285
EfficientNet-B0,unseen_test,Wukong,resize_160,mild,0.9403508771929825,285
EfficientNet-B0,unseen_test,Midjourney,resize_112,strong,0.9895104895104895,286
EfficientNet-B0,unseen_test,VQDM,resize_112,strong,0.9298245614035088,285
EfficientNet-B0,unseen_test,Wukong,resize_112,strong,0.9929824561403509,285
EfficientNet-B0,unseen_test,Midjourney,blur_sigma1,mild,1.0,286
EfficientNet-B0,unseen_test,VQDM,blur_sigma1,mild,0.9894736842105263,285
EfficientNet-B0,unseen_test,Wukong,blur_sigma1,mild,1.0,285
EfficientNet-B0,unseen_test,Midjourney,blur_sigma2,strong,1.0,286
EfficientNet-B0,unseen_test,VQDM,blur_sigma2,strong,1.0,285
EfficientNet-B0,unseen_test,Wukong,blur_sigma2,strong,1.0,285
