epoch,train_loss,train_roc_auc,train_ap,val_loss,val_roc_auc,val_ap,val_accuracy_050,val_balanced_accuracy_050,val_precision_050,val_recall_050,val_specificity_050,val_f1_050,val_TN,val_FP,val_FN,val_TP
1,0.6177939252797947,0.7324482828555977,0.7253968052538448,0.6247901121775309,0.7514042782394583,0.7522654433782168,0.625,0.625,0.5830903790087464,0.8771929824561403,0.3728070175438596,0.7005253940455342,85,143,28,200
2,0.5804562637972277,0.7670996146565711,0.7511640344758939,0.7161094023470294,0.6915012311480456,0.662133781300908,0.6228070175438597,0.6228070175438596,0.5809248554913294,0.881578947368421,0.3640350877192982,0.7003484320557491,83,145,27,201
3,0.5566375546677168,0.7914011796917252,0.7913633419258506,0.7579491473080819,0.7415935672514621,0.745037501553538,0.5614035087719298,0.5614035087719298,0.5336538461538461,0.9736842105263158,0.1491228070175438,0.6894409937888198,34,194,6,222
4,0.5549062074616898,0.7904948620876149,0.782840462197305,0.6071510848246122,0.7590797168359495,0.7500525087376596,0.6929824561403509,0.6929824561403508,0.6486486486486487,0.8421052631578947,0.543859649122807,0.732824427480916,124,104,36,192
5,0.5416108570819678,0.804188919686317,0.7986884691326395,0.5468786348376358,0.7999384425977224,0.8172145836867573,0.7214912280701754,0.7214912280701754,0.6996047430830039,0.7763157894736842,0.6666666666666666,0.735966735966736,152,76,51,177
6,0.53809335689212,0.8082261526500811,0.8105987717718255,0.6038625449465033,0.7789512157586949,0.7912453892311487,0.6820175438596491,0.6820175438596492,0.7785234899328859,0.5087719298245614,0.8552631578947368,0.6153846153846154,195,33,112,116
7,0.5200865940992222,0.8217173979177934,0.8119788038873484,0.7801852278542101,0.7368805786395813,0.7090403778739259,0.6337719298245614,0.6337719298245614,0.5840220385674931,0.9298245614035088,0.337719298245614,0.7174280879864636,77,151,16,212
8,0.517016165478285,0.822788500540833,0.819964901399325,0.7408686092025355,0.7800284702985533,0.7860188992043026,0.6447368421052632,0.6447368421052632,0.83,0.3640350877192982,0.925438596491228,0.5060975609756098,211,17,145,83
9,0.5159774408784024,0.8237434085992429,0.8206593465730487,0.540950197922556,0.8061326562019082,0.8027380278932855,0.7280701754385965,0.7280701754385965,0.7015503875968992,0.793859649122807,0.6622807017543859,0.7448559670781894,151,77,47,181
10,0.5044092328049415,0.8337614926987561,0.8200334972207282,0.5199595020528425,0.8236957525392428,0.8260202362886638,0.7456140350877193,0.7456140350877193,0.7477876106194691,0.7412280701754386,0.75,0.7444933920704846,171,57,59,169
11,0.5052193964636603,0.83129816792861,0.825060950661936,0.5259748090777481,0.8171552785472453,0.8155521905904243,0.7368421052631579,0.736842105263158,0.7231404958677686,0.7675438596491229,0.706140350877193,0.7446808510638298,161,67,53,175
12,0.4826537412266398,0.8516026399405084,0.8433210661440439,0.5966883939609193,0.8021506617420745,0.7928424660599568,0.7127192982456141,0.7127192982456141,0.6559485530546624,0.8947368421052632,0.5307017543859649,0.7569573283858998,121,107,24,204
13,0.4949742645718331,0.84286269605192,0.8258175145315065,0.5616479944764522,0.827812403816559,0.8493025083507821,0.7543859649122807,0.7543859649122806,0.8411764705882353,0.6271929824561403,0.881578947368421,0.7185929648241206,201,27,85,143
14,0.4958577585774799,0.841808494456463,0.8303797725359859,0.5937570469421253,0.8142313019390581,0.7987513040441929,0.6929824561403509,0.6929824561403508,0.6309523809523809,0.9298245614035088,0.4561403508771929,0.75177304964539,104,124,16,212
15,0.4854910623195559,0.8491519909410492,0.849197424525538,0.5197818132868984,0.8251000307787011,0.8279769543974922,0.7346491228070176,0.7346491228070176,0.7296137339055794,0.7456140350877193,0.7236842105263158,0.737527114967462,165,63,58,170
16,0.4799041685669921,0.8528638791238509,0.8423595096857811,0.5199647200734991,0.8233494921514312,0.8395341621340457,0.7456140350877193,0.7456140350877193,0.75,0.7368421052631579,0.7543859649122807,0.7433628318584071,172,56,60,168
17,0.4873263468576032,0.8464182497295836,0.8425364473278244,0.5610820159577486,0.8115958756540473,0.8284673500535448,0.7390350877192983,0.7390350877192982,0.7823834196891192,0.6622807017543859,0.8157894736842105,0.7173396674584323,186,42,77,151
18,0.4708788900874381,0.8588679691725256,0.8549599540396233,0.5892407904591477,0.8152316097260697,0.7940799205494182,0.7280701754385965,0.7280701754385965,0.674496644295302,0.881578947368421,0.5745614035087719,0.7642585551330798,131,97,27,201
19,0.4980122183644494,0.8387853231476473,0.8313781281688324,0.5522363980611166,0.831294244382887,0.8253881446089413,0.7280701754385965,0.7280701754385965,0.6635220125786163,0.925438596491228,0.5307017543859649,0.7728937728937729,121,107,17,211
20,0.4763269077899844,0.8552680502974581,0.8512570447502323,0.5889442719911274,0.812980917205294,0.8129005530078692,0.7368421052631579,0.7368421052631579,0.8,0.631578947368421,0.8421052631578947,0.7058823529411765,192,36,84,144
21,0.4745015578214512,0.8570722349918874,0.8462114244813588,0.5621025771425482,0.8320637119113572,0.8463467875139863,0.7521929824561403,0.7521929824561404,0.8212290502793296,0.6447368421052632,0.8596491228070176,0.7223587223587223,196,32,81,147
22,0.462654675855193,0.8639044753921037,0.853987940949517,0.8676653473000777,0.7767774699907665,0.7423450571123033,0.5964912280701754,0.5964912280701754,0.5544554455445545,0.9824561403508772,0.2105263157894736,0.7088607594936709,48,180,4,224
23,0.4687014069668082,0.8613650959978367,0.8546398886012554,0.5100516363194114,0.8317559248999693,0.8353309799197874,0.7543859649122807,0.7543859649122806,0.7660550458715596,0.7324561403508771,0.7763157894736842,0.7488789237668162,177,51,61,167
24,0.4527224357738051,0.8697670193347755,0.8614307993447485,0.6371225746054399,0.8279470606340412,0.8441312280497295,0.7236842105263158,0.7236842105263158,0.8984375,0.5043859649122807,0.9429824561403508,0.6460674157303371,215,13,113,115
25,0.4717359937900721,0.8578517948891293,0.8414353021123839,0.5672973091142219,0.8364112034472146,0.8236061793479761,0.7149122807017544,0.7149122807017544,0.6503067484662577,0.9298245614035088,0.5,0.7653429602888087,114,114,16,212
26,0.4580117415550143,0.8664480800432666,0.8554169473181332,0.4966481432580111,0.8464335180055402,0.8514569862564731,0.7741228070175439,0.7741228070175439,0.7962085308056872,0.7368421052631579,0.8114035087719298,0.765375854214123,185,43,60,168
27,0.4576558248941288,0.8683938108436994,0.8631198252803174,0.4997104155389886,0.8433941212680824,0.8555150275065782,0.7609649122807017,0.7609649122807018,0.7448559670781894,0.793859649122807,0.7280701754385965,0.7685774946921444,166,62,47,181
28,0.448392354471739,0.8747253583017848,0.8609020858055825,0.5018523283172072,0.8447406894429055,0.8474087174430451,0.7653508771929824,0.7653508771929824,0.784037558685446,0.7324561403508771,0.7982456140350878,0.7573696145124716,182,46,61,167
