phase,epoch,train_loss,val_loss,val_roc_auc,val_ap,val_accuracy_050,val_balanced_accuracy_050,val_precision_050,val_recall_050,val_specificity_050,val_f1_050,val_fpr_050
2,1,0.14434965829863106,0.3688247831244218,0.9350954139735302,0.9388550933563983,0.8596491228070176,0.8596491228070176,0.8416666666666667,0.8859649122807017,0.8333333333333334,0.8632478632478633,0.16666666666666666
2,2,0.06771548382591369,0.3655215208990532,0.9368459526008003,0.9405006239553589,0.8596491228070176,0.8596491228070176,0.8416666666666667,0.8859649122807017,0.8333333333333334,0.8632478632478633,0.16666666666666666
2,3,0.05035121340391248,0.35961219825242696,0.9395967990150816,0.9450814607368101,0.8574561403508771,0.8574561403508771,0.8438818565400844,0.8771929824561403,0.8377192982456141,0.8602150537634409,0.16228070175438597
2,4,0.03962549508744201,0.34808360170899777,0.9419629116651277,0.9465467443471853,0.8640350877192983,0.8640350877192983,0.8429752066115702,0.8947368421052632,0.8333333333333334,0.8680851063829788,0.16666666666666666
2,5,0.030316501227748947,0.36319677035013836,0.9415589412126808,0.9469176558797344,0.8464912280701754,0.8464912280701754,0.8264462809917356,0.8771929824561403,0.8157894736842105,0.851063829787234,0.18421052631578946
2,6,0.02225968435536637,0.36027359857893826,0.9428862726992921,0.9475954129594969,0.8508771929824561,0.8508771929824561,0.8361344537815126,0.8728070175438597,0.8289473684210527,0.8540772532188842,0.17105263157894737
2,7,0.022539742431754984,0.3960810408257602,0.9440404739919975,0.9476950097095436,0.8596491228070176,0.8596491228070176,0.8178294573643411,0.9254385964912281,0.793859649122807,0.8683127572016461,0.20614035087719298
2,8,0.024181353426430116,0.3358678462212546,0.9468105570944906,0.9482652983669262,0.8706140350877193,0.8706140350877193,0.8626609442060086,0.881578947368421,0.8596491228070176,0.8720173535791758,0.14035087719298245
2,9,0.016301432803143247,0.34572897825324744,0.9469259772237612,0.9495319780064756,0.8706140350877193,0.8706140350877193,0.8755555555555555,0.8640350877192983,0.8771929824561403,0.869757174392936,0.12280701754385964
2,10,0.011413408622015701,0.34834045380876777,0.9486957525392429,0.9513581091245344,0.8662280701754386,0.8662280701754386,0.8408163265306122,0.9035087719298246,0.8289473684210527,0.8710359408033826,0.17105263157894737
2,11,0.010678450280508069,0.3650348562943308,0.947099107417667,0.9492687780828595,0.8640350877192983,0.8640350877192983,0.8401639344262295,0.8991228070175439,0.8289473684210527,0.8686440677966102,0.17105263157894737
2,12,0.008355755326446406,0.33717961635505944,0.9505617112957833,0.9539703465840461,0.881578947368421,0.881578947368421,0.8849557522123894,0.8771929824561403,0.8859649122807017,0.8810572687224669,0.11403508771929824
2,13,0.007682000942051757,0.34494472020550776,0.952331486611265,0.9562511806047883,0.8640350877192983,0.8640350877192982,0.8487394957983193,0.8859649122807017,0.8421052631578947,0.8669527896995708,0.15789473684210525
2,14,0.0076500939890244155,0.35274832002949297,0.9510041551246537,0.9558883453330662,0.881578947368421,0.881578947368421,0.8883928571428571,0.8728070175438597,0.8903508771929824,0.8805309734513275,0.10964912280701754
2,15,0.008788565891188418,0.3547969361146291,0.9500230840258541,0.9544766880563497,0.8728070175438597,0.8728070175438596,0.8632478632478633,0.8859649122807017,0.8596491228070176,0.8744588744588745,0.14035087719298245
2,16,0.005694116882676649,0.38059524904217634,0.9495421668205601,0.9535940536471682,0.868421052631579,0.868421052631579,0.836,0.9166666666666666,0.8201754385964912,0.8744769874476988,0.17982456140350878
2,17,0.010211191241640251,0.44981523668556883,0.9449445983379501,0.9494653212603963,0.8552631578947368,0.8552631578947368,0.8115384615384615,0.9254385964912281,0.7850877192982456,0.8647540983606558,0.2149122807017544
2,18,0.003562505465260772,0.38549970848518506,0.950831024930748,0.955822924551297,0.8618421052631579,0.861842105263158,0.8340080971659919,0.9035087719298246,0.8201754385964912,0.8673684210526316,0.17982456140350878
2,19,0.007122079780877589,0.3812995239308006,0.9503308710372422,0.9539307445497028,0.8618421052631579,0.861842105263158,0.8340080971659919,0.9035087719298246,0.8201754385964912,0.8673684210526316,0.17982456140350878
2,20,0.00539133786819442,0.37092850710216324,0.9519275161588181,0.9552979122443515,0.868421052631579,0.868421052631579,0.85,0.8947368421052632,0.8421052631578947,0.8717948717948718,0.15789473684210525
