comparison,split,condition,metric,reference_value,candidate_value,observed_difference,bootstrap_mean,bootstrap_std,ci_low,ci_high,includes_zero,analysis_type,interpretation
F2_vs_F0,known_test,original,roc_auc,0.9421552785472453,0.94242459218221,0.0002693136349646297,0.000245075407817787,0.0023472987108881646,-0.004463392582333092,0.004751461988304118,True,primary_absolute,not clearly distinguishable from zero under this fixed-sample bootstrap
F2_vs_F0,known_test,original,average_precision,0.9490671756749863,0.9487707290825383,-0.0002964465924479853,-0.00031967931846935946,0.00256060915094224,-0.00560677762585495,0.004420693920137904,True,primary_absolute,not clearly distinguishable from zero under this fixed-sample bootstrap
F2_vs_F0,known_test,jpeg_q50,roc_auc,0.925919513696522,0.9261888273314866,0.00026931363496451866,0.00021437750076946417,0.0028036200404582593,-0.0053093259464450674,0.005674823022468359,True,primary_absolute,not clearly distinguishable from zero under this fixed-sample bootstrap
F2_vs_F0,known_test,jpeg_q50,average_precision,0.931883905107204,0.9330694300963918,0.0011855249891877806,0.0010714356221673282,0.0030875035292606302,-0.004907322434465558,0.007148884569310382,True,primary_absolute,not clearly distinguishable from zero under this fixed-sample bootstrap
F2_vs_F0,known_test,resize_112,roc_auc,0.8974299784549092,0.8949388273314867,-0.0024911511234225747,-0.002506186518928903,0.0034238551564633765,-0.009291801323484183,0.003963238688827313,True,primary_absolute,not clearly distinguishable from zero under this fixed-sample bootstrap
F2_vs_F0,known_test,resize_112,average_precision,0.9066914006640763,0.9044179209801357,-0.002273479683940538,-0.002291388678969781,0.003266061540248052,-0.008961112335456125,0.004024485466559499,True,primary_absolute,not clearly distinguishable from zero under this fixed-sample bootstrap
F2_vs_F0,known_test,blur_sigma2,roc_auc,0.7326485072329947,0.7371018005540166,0.004453293321021956,0.004554993844259773,0.006183704487641448,-0.007627827793167299,0.01692876654355202,True,primary_absolute,not clearly distinguishable from zero under this fixed-sample bootstrap
F2_vs_F0,known_test,blur_sigma2,average_precision,0.7256983945346064,0.7256911664506042,-7.228084002219859e-06,-0.0006742819807561051,0.01072966522475428,-0.02190302747961087,0.020576306237751085,True,primary_absolute,not clearly distinguishable from zero under this fixed-sample bootstrap
F2_vs_F0,known_test,screenshot_strong,roc_auc,0.8598607263773469,0.8499730686365035,-0.009887657740843436,-0.00983975453985842,0.003872356321319641,-0.01779441751308099,-0.0023084025854107626,False,primary_absolute,consistent negative difference under the current fixed-sample bootstrap
F2_vs_F0,known_test,screenshot_strong,average_precision,0.8661504827399137,0.8607758817048372,-0.005374601035076476,-0.005391175003306526,0.0037686860190869094,-0.012733026332844982,0.0019885218876609816,True,primary_absolute,not clearly distinguishable from zero under this fixed-sample bootstrap
