test_condition,roc_auc,average_precision,accuracy_youden,balanced_accuracy_youden,precision_youden,recall_youden,specificity_youden,f1_youden,fpr_youden
known_test,0.7246652816251153,0.7225392255405856,0.6864035087719298,0.6864035087719298,0.6905829596412556,0.6754385964912281,0.6973684210526315,0.6829268292682927,0.3026315789473684
unseen_test,0.6451955410952922,0.6141061961038217,0.5800233644859814,0.5800233644859814,0.6159052453468697,0.4252336448598131,0.7348130841121495,0.5031098825155494,0.2651869158878505
unseen_minus_known,-0.07946974052982314,-0.10843302943676392,-0.10638014428594844,-0.10638014428594844,-0.07467771429438586,-0.250204951631415,0.03744466305951799,-0.1798169467527433,-0.037444663059517935
