metric,ci_low,ci_high,mean
roc_auc,0.49090045837791896,0.5419486705901995,0.5161051026796895
average_precision,0.6640255740977132,0.7039868324639112,0.6836801343814499
selective_coverage,0.717619375573921,0.7552800734618916,0.7369294765840221
selective_risk,0.6008743177661695,0.6363090909090908,0.6187531887654115
