analysis_type,split,model,metric,observed,bootstrap_mean,bootstrap_std,ci_95_low,ci_95_high,comparison
model_metric,known_test,LogReg,roc_auc,0.7246652816251153,0.7241151123422592,0.024020352744917817,0.6771112265312403,0.7697233764235151,
model_metric,known_test,LogReg,average_precision,0.7225392255405856,0.7249522203785937,0.02791127612514278,0.6702553588911074,0.7796236977232176,
model_metric,known_test,SmallCNNV1,roc_auc,0.8664012003693444,0.8663563981224994,0.017066808995180992,0.8311744959987689,0.8982379193598029,
model_metric,known_test,SmallCNNV1,average_precision,0.8673358064465055,0.8682621648055224,0.019618861890286287,0.8275872752971065,0.9043687898339517,
model_metric,known_test,MobileNetV3-Small,roc_auc,0.9519275161588181,0.9520387542320714,0.00883619436998056,0.9333039973838104,0.9682407086795938,
model_metric,known_test,MobileNetV3-Small,average_precision,0.9573603801739043,0.9576367664681409,0.008089899235054866,0.9403643146235979,0.9722247038739349,
model_metric,known_test,EfficientNet-B0,roc_auc,0.9587757771622037,0.9588297937827023,0.008133324198123265,0.9423827523853493,0.973741920590951,
model_metric,known_test,EfficientNet-B0,average_precision,0.9637023807642139,0.9638592722640323,0.006958835590479866,0.9494675077065535,0.976750457268995,
model_metric,unseen_test,LogReg,roc_auc,0.6451955410952922,0.6450428315245872,0.013088064547655598,0.6189253701196611,0.670238496538999,
model_metric,unseen_test,LogReg,average_precision,0.6141061961038217,0.6154120057328659,0.014241547396665406,0.587844257750354,0.6430656406062567,
model_metric,unseen_test,SmallCNNV1,roc_auc,0.7215081557341254,0.7214216419010394,0.012380419878879417,0.697144435376452,0.7460463591252511,
model_metric,unseen_test,SmallCNNV1,average_precision,0.6558252220465397,0.65694606822416,0.01475251907647861,0.6284733467554083,0.6861934301070851,
model_metric,unseen_test,MobileNetV3-Small,roc_auc,0.8589887763123416,0.8588355729758057,0.008651291102935457,0.8417103158572802,0.8751439467966634,
model_metric,unseen_test,MobileNetV3-Small,average_precision,0.8709269699460437,0.8708987252392985,0.008089437003405826,0.8547029829032298,0.8860637617610012,
model_metric,unseen_test,EfficientNet-B0,roc_auc,0.8589150799196436,0.8588605066490523,0.00900436693889638,0.8411344945519259,0.8764084540680408,
model_metric,unseen_test,EfficientNet-B0,average_precision,0.8805020097815437,0.8805643334838316,0.008182114263081849,0.8642441702169489,0.8960873945231864,
generalisation_gap,known_to_unseen,LogReg,roc_auc_gap,-0.07946974052982314,-0.07907228081767187,0.027362859506187585,-0.13308362785931213,-0.024326830555201805,
generalisation_gap,known_to_unseen,LogReg,average_precision_gap,-0.10843302943676392,-0.10954021464572779,0.031537851986736844,-0.17155553916277905,-0.04655140674736687,
generalisation_gap,known_to_unseen,SmallCNNV1,roc_auc_gap,-0.14489304463521901,-0.14493475622145985,0.021183496600208417,-0.18696690103065502,-0.10216110740953137,
generalisation_gap,known_to_unseen,SmallCNNV1,average_precision_gap,-0.21151058439996584,-0.2113160965813625,0.024494111958180045,-0.25949961843647007,-0.16223202202061487,
generalisation_gap,known_to_unseen,MobileNetV3-Small,roc_auc_gap,-0.09293873984647649,-0.09320318125626566,0.012348269192679692,-0.11672649180718717,-0.06874822595359883,
generalisation_gap,known_to_unseen,MobileNetV3-Small,average_precision_gap,-0.08643341022786066,-0.08673804122884239,0.011327209079860637,-0.1084372296389148,-0.06383589257583118,
generalisation_gap,known_to_unseen,EfficientNet-B0,roc_auc_gap,-0.09986069724256019,-0.09996928713365005,0.012089035431628946,-0.12307587506567255,-0.07600998463381962,
generalisation_gap,known_to_unseen,EfficientNet-B0,average_precision_gap,-0.08320037098267019,-0.08329493878020067,0.010694052647746448,-0.10358199535645256,-0.062011527703794374,
paired_difference,known_test,,roc_auc_difference,0.006848261003385647,0.006791039550630968,0.006696209104289025,-0.006136984456756039,0.02033366035703289,EfficientNet-B0 minus MobileNetV3-Small
paired_difference,known_test,,average_precision_difference,0.006342000590309538,0.006222505795891364,0.005451339969442843,-0.004501087849847409,0.017283683802432778,EfficientNet-B0 minus MobileNetV3-Small
paired_difference,unseen_test,,roc_auc_difference,-7.369639269805273e-05,2.493367324656983e-05,0.0075139477694178124,-0.015098309623111244,0.014483149456284329,EfficientNet-B0 minus MobileNetV3-Small
paired_difference,unseen_test,,average_precision_difference,0.00957503983550001,0.009665608244533096,0.007118362613424002,-0.004545700396684707,0.023444188470692115,EfficientNet-B0 minus MobileNetV3-Small
paired_difference,unseen_test,,roc_auc_difference,0.1374806205782162,0.13741393107476638,0.012492055307397231,0.11319271197266133,0.16155078363830905,MobileNetV3-Small minus SmallCNNV1
paired_difference,unseen_test,,average_precision_difference,0.21510174789950398,0.21395265701513855,0.014544430468468865,0.18554574681878472,0.24196141075105468,MobileNetV3-Small minus SmallCNNV1
paired_difference,unseen_test,,roc_auc_difference,0.13740692418551814,0.13743886474801292,0.013376514785227911,0.1110544930234081,0.16374727732771416,EfficientNet-B0 minus SmallCNNV1
paired_difference,unseen_test,,average_precision_difference,0.224676787735004,0.22361826525967163,0.015316473391691569,0.19380894952354163,0.2529882708689172,EfficientNet-B0 minus SmallCNNV1
