model,device,parameters,state_dict_size_mib,checkpoint_size_mib,preprocess_median_ms,forward_median_ms,forward_p95_ms,end_to_end_median_ms,end_to_end_p95_ms,throughput_batch32_ips,throughput_batch_size,approx_memory_mib,forward_cv,end_to_end_cv,frequency_transform_median_ms,frequency_fraction_of_e2e
C0,cpu,1518881,5.923338890075684,17.640803337097168,0.6790205006836914,43.909771000471665,45.13383069715928,44.837895504315384,46.126200100479764,37.737268389369945,32,399.546875,0.05112925630722693,0.04052368906599172,,
C1,cpu,1912067,7.440920829772949,7.453265190124512,1.6157709978870116,46.98064599870122,48.536846047863946,49.19185399921844,52.624354149520514,28.24299810975916,32,403.890625,0.1678905504920334,0.06927993356189927,0.9737295004015323,0.019794527370670008
C0,mps,1518881,5.923338890075684,17.640803337097168,0.6790205006836914,8.042854497034568,8.650597901214496,9.906791499815881,11.074912497133482,538.6825661878781,32,24.14111328125,0.11873233626389913,0.13595766910268597,,
C1,mps,1912067,7.440920829772949,7.453265190124512,1.6157709978870116,9.007729502627626,9.598820494647953,12.642374997085426,14.10551884837332,367.3400303423051,32,15.69873046875,0.038028561107867835,0.053238742758636264,0.9737295004015323,0.07702108983683967
