regime,label,selected_phase,selected_epoch,original_auc,original_ap,jpeg50_auc,jpeg50_ap,resize112_auc,resize112_ap,blur2_auc,blur2_ap,screenshot_strong_auc,screenshot_strong_ap,robust_val_auc,robust_val_ap,parameters
A0,Clean,pretrained+clean,frozen,0.952331486611265,0.9562511806047884,0.9049130501692828,0.8959506287490941,0.8233783471837488,0.8115888550202018,0.6879616805170822,0.6778590452169427,0.8198484148968914,0.7960419431876199,0.8421461411203447,0.8354124273977568,1518881
A1,Blur,2,9,0.9198984302862419,,0.8548207140658665,,0.811461218836565,,0.7718528778085564,,0.7888965835641737,0.7834421796423213,0.8395083102493074,0.8337596726638965,1518881
A2,Resize+JPEG,2,16,0.9383656509695291,,0.9178593413357955,,0.8824253616497384,,0.720413973530317,,0.8507617728531858,0.861681682508214,0.8647660818713451,0.8631339941280123,1518881
A3,Combined,2,8,0.9207640812557709,,0.8883117882425362,,0.8358533394890735,,0.7652354570637119,,0.814885349338258,0.8076751757839429,0.8525411665127731,0.841411216477433,1518881
