phase,epoch,train_loss,val_loss,val_roc_auc,val_ap,val_accuracy_050,val_balanced_accuracy_050,val_precision_050,val_recall_050,val_specificity_050,val_f1_050,val_fpr_050
1,1,0.6639754494955373,0.6341494039485329,0.7429978454909203,0.721539455481033,0.6732456140350878,0.6732456140350878,0.6525096525096525,0.7412280701754386,0.6052631578947368,0.6940451745379876,0.39473684210526316
1,2,0.5821835897689642,0.5897229742585567,0.797360726377347,0.7739011430175525,0.7149122807017544,0.7149122807017544,0.71875,0.706140350877193,0.7236842105263158,0.7123893805309734,0.27631578947368424
1,3,0.5321645750555881,0.5620575453105726,0.8165204678362574,0.796593719160706,0.7324561403508771,0.7324561403508771,0.7453703703703703,0.706140350877193,0.7587719298245614,0.7252252252252253,0.2412280701754386
1,4,0.5021103343298269,0.5472751270260727,0.8201562019082794,0.7981641658620808,0.7368421052631579,0.736842105263158,0.7432432432432432,0.7236842105263158,0.75,0.7333333333333333,0.25
1,5,0.47586525526157647,0.5320610759551065,0.8296398891966759,0.8104814164099814,0.7609649122807017,0.7609649122807018,0.784688995215311,0.7192982456140351,0.8026315789473685,0.7505720823798627,0.19736842105263158
1,6,0.45233871146690013,0.5211554974840399,0.8350838719606032,0.8155436181184439,0.7609649122807017,0.7609649122807018,0.7819905213270142,0.7236842105263158,0.7982456140350878,0.7517084282460137,0.20175438596491227
1,7,0.4361090479895126,0.514523142262509,0.8372768544167437,0.8216656849486468,0.7653508771929824,0.7653508771929824,0.7867298578199052,0.7280701754385965,0.8026315789473685,0.7562642369020501,0.19736842105263158
1,8,0.4236589067204054,0.5101361776653089,0.8373730378578025,0.8172762673144887,0.7741228070175439,0.7741228070175439,0.7880184331797235,0.75,0.7982456140350878,0.7685393258426966,0.20175438596491227
1,9,0.40806915593701737,0.5040422123775148,0.8406048014773777,0.8240958247560294,0.7741228070175439,0.7741228070175439,0.7906976744186046,0.7456140350877193,0.8026315789473685,0.7674943566591422,0.19736842105263158
1,10,0.3992629543293354,0.4999717202102929,0.8420667897814713,0.8272089730180034,0.7719298245614035,0.7719298245614035,0.7897196261682243,0.7412280701754386,0.8026315789473685,0.7647058823529411,0.19736842105263158
