regime,phase,epoch,train_loss,original_auc,original_ap,jpeg50_auc,jpeg50_ap,resize112_auc,resize112_ap,blur2_auc,blur2_ap,robust_val_auc,robust_val_ap,original_loss
A2,1,1,0.5300463666749555,0.8781740535549398,0.878391823662149,0.8271006463527237,0.8187436483488861,0.8011311172668514,0.7915115573819425,0.6946175746383503,0.6915384660418226,0.8002558479532162,0.7950463738586999,0.4361192458554318
A2,1,2,0.390596883588059,0.8864650661742074,0.8850209433541816,0.8445290858725762,0.8315401444612442,0.8212526931363497,0.8050739435013687,0.7220298553401047,0.7064439283781079,0.8185691751308095,0.8070197399237256,0.4214132485682504
A2,1,3,0.34293735165928685,0.8994690674053555,0.9001134906839611,0.8629193598030163,0.858096169430858,0.8340450907971684,0.8251480784474072,0.7349184364419822,0.7188050595941977,0.8328379886118805,0.825540699539106,0.42988649324366923
A2,1,4,0.27076309954011163,0.9070675592489997,0.9128798437360048,0.8705947983995075,0.8718345373336948,0.8435864881502001,0.8439005892801157,0.7376404278239458,0.736067530409499,0.8397223184056632,0.8411706251898285,0.3943994531505986
A2,1,5,0.22288733790087145,0.9042012927054478,0.9044918750190529,0.8597068328716528,0.8513488318436113,0.8221375807940905,0.8097358602673883,0.7178939673745769,0.6988166100310487,0.8259849184364421,0.8160982942902753,0.4032922977941078
A2,1,6,0.1684953572098599,0.8952947060634041,0.8920000340697986,0.8548014773776546,0.8451278837045962,0.8205986457371499,0.8093578640881228,0.7211642043705756,0.7069637571608156,0.822964758387196,0.8133623847558333,0.4478848241923148
A2,1,7,0.14553499273782552,0.91101108033241,0.9104522233866541,0.8757694675284703,0.8725933471584256,0.8349492151431209,0.8309914339458919,0.7157779316712833,0.7086652986894828,0.8343769236688211,0.8306755757951136,0.5296323856240824
A2,1,8,0.11458576583238535,0.9088565712526931,0.9075910502383578,0.8697291474299784,0.8565786502077628,0.8389504462911666,0.8283683766235636,0.7349953831948293,0.7218365622738333,0.8381328870421669,0.8285936598358794,0.4168659830302523
A2,1,9,0.07222397504157799,0.9175707910126193,0.9165044742988261,0.8824445983379501,0.8758661147027477,0.8421822099107419,0.8390739183630361,0.7273391812865497,0.7265633021183615,0.8423841951369653,0.8395019523707429,0.41709207704192713
A2,1,10,0.06469369813973128,0.9023160972606956,0.900467964335698,0.8662665435518622,0.8595780939252152,0.8319675284702986,0.8324974499251709,0.7263965835641736,0.7301143425368339,0.8317366882117575,0.8306644626807296,0.4535637375032693
