generator,n,ai_recall,false_negative_rate,mean_calibrated_p_ai,median_calibrated_p_ai,uncertain_rate,ai_classification_rate,accepted_ai_recall
GPT Image 2,726,0.24380165289256198,0.756198347107438,0.27165731667062826,0.1693389921378205,0.28512396694214875,0.24380165289256198,1.0
Nano Banana 2,726,0.19696969696969696,0.803030303030303,0.23007703915059322,0.09948628160520764,0.23829201101928374,0.19696969696969696,1.0
Real,726,0.0,0.0,0.234924455517519,0.12935755168376983,0.26584022038567495,0.19421487603305784,0.0
