regime,phase,epoch,train_loss,original_auc,original_ap,jpeg50_auc,jpeg50_ap,resize112_auc,resize112_ap,blur2_auc,blur2_ap,robust_val_auc,robust_val_ap,original_loss
A1,2,1,0.36542769296224725,0.904355186211142,0.8990822850489315,0.8495498614958448,0.8326847683659693,0.796783625730994,0.7815468997796524,0.7521545090797168,0.7293254097372444,0.8257107956294245,0.8106598407329494,0.3917247705292283
A1,2,2,0.27990195778913274,0.9066635887965527,0.9034219170173652,0.8419513696522006,0.8203243681799779,0.7934749153585718,0.777960471611025,0.7571752847029856,0.7350037536960798,0.8248162896275777,0.809177627626112,0.3955962919352347
A1,2,3,0.2358237286639768,0.9047206832871654,0.9004807760057113,0.8426631271160356,0.8246629464203132,0.8013619575253925,0.7858000277673227,0.7571175746383503,0.7378263569302426,0.826465835641736,0.8121925267808974,0.38934153945822464
A1,2,4,0.1924585270327191,0.9140697137580793,0.9104861824105313,0.853339489073561,0.8349743030045254,0.8027854724530624,0.7865355526683364,0.7550977223761157,0.7415458687409516,0.8313230994152045,0.8183854767060861,0.37337232420319005
A1,2,5,0.15086555654226347,0.9100877192982456,0.9093234378985822,0.8494921514312095,0.8386651915929922,0.8086526623576484,0.798863767929537,0.7494998461064943,0.7379686613968423,0.8294330947983994,0.8212052647044884,0.3817008576895061
A1,2,6,0.13307553070575692,0.9131271160357034,0.911733590913407,0.8525123114804555,0.8423031029842014,0.799168975069252,0.7871671319872293,0.7525969529085873,0.740477052390542,0.8293513388734995,0.8204202195688449,0.38173710567909375
A1,2,7,0.10049776602969614,0.9154932286857494,0.9206371587821106,0.852627731609726,0.8424738541709129,0.808845029239766,0.8041887706107839,0.7544821483533395,0.7473902966072375,0.8328620344721454,0.8286725200427613,0.3796718727078354
A1,2,8,0.09226955560057662,0.9148776546629732,0.9181734618124184,0.8524546014158202,0.8398411993389185,0.8068828870421667,0.8031132057873682,0.7684095106186519,0.7665569833662766,0.835656163434903,0.8319212125762454,0.38350497526034977
A1,2,9,0.08050794786838598,0.9198984302862419,0.9218985901520176,0.8548207140658665,0.8428242104690773,0.811461218836565,0.8057160180644478,0.7718528778085564,0.7645998719700431,0.8395083102493074,0.8337596726638965,0.37638576825459796
A1,2,10,0.061599838395797926,0.9054324407510003,0.907734268915156,0.841374269005848,0.8313776677952691,0.8040166204986148,0.8002594095458856,0.759676054170514,0.7624843551282217,0.8276248461064943,0.8254639253461331,0.4177624107452861
A1,2,11,0.04541173858871294,0.9170514004309018,0.9198144906866708,0.8521468144044322,0.8434734185332056,0.8063250230840259,0.8034211474849433,0.7729108956602031,0.7744725951872069,0.8371085333948907,0.8352954129730067,0.40076493275792974
A1,2,12,0.054220380174905755,0.9073561095721762,0.9105594801972758,0.837411511234226,0.8224548779362786,0.7968605724838411,0.7953932485967723,0.7581563558017852,0.7521158196324965,0.8249461372730071,0.8201308565907058,0.4357751037990838
A1,2,13,0.03671476264419251,0.9109341335795629,0.9149590246288584,0.8489919975377039,0.8409839485049635,0.808691135734072,0.8053701817957089,0.7693905817174516,0.756460594458681,0.8345019621421976,0.829443437347053,0.45661934269101995
A1,2,14,0.03408768640961065,0.9078755001538935,0.9080264249812492,0.8510695598645737,0.8469445941379681,0.8019775315481685,0.7970163228772726,0.758329485995691,0.7470769858132554,0.8298130193905817,0.8247660819524363,0.45313591810694914
A1,2,15,0.03457817529479778,0.8938134810710987,0.8961954209325231,0.834083564173592,0.8310630963105552,0.7885310864881502,0.7872128711774025,0.7547706986765158,0.7563273412750903,0.8177997076023392,0.8176996824238928,0.5162073640446914
A1,2,16,0.028535791423691566,0.8978147122191443,0.8993795009048152,0.8432594644506002,0.8423105540972832,0.804497537703909,0.8071606275278519,0.7658702677747,0.7658029803327059,0.8278604955370883,0.828663415715664,0.5079590374963325
A1,2,17,0.03752717702801144,0.8943905817174516,0.8996867901373659,0.8436057248384117,0.8467826978740163,0.7933402585410895,0.7972424611086929,0.753731917513081,0.7521726622803176,0.8212671206525084,0.8239711528500981,0.5244095513695165
A1,2,18,0.022126086532723074,0.9029509079716835,0.9093412199322091,0.8544936903662665,0.8580752237740497,0.7998230224684518,0.799921047369806,0.7580409356725146,0.7606733774124641,0.828827139119729,0.8320027171221321,0.5006339675501773
A1,2,19,0.01728660186622725,0.88627269929209,0.8921531955009827,0.8265812557710065,0.8205329584682934,0.790377808556479,0.7943080622675452,0.7541743613419514,0.7559320861667127,0.8143515312403817,0.8157315756008836,0.5733604870344463
A1,2,20,0.018811985953212824,0.903874269005848,0.9090648654144063,0.8401335026161897,0.8289807359378993,0.8054978454909204,0.8057473070822426,0.7730070791012619,0.7733426788066748,0.8306281740535549,0.8292838968103058,0.5181952537151805
