phase,epoch,train_loss,original_auc,original_ap,jpeg50_auc,jpeg50_ap,resize112_auc,resize112_ap,blur2_auc,blur2_ap,robust_val_auc,robust_val_ap,original_loss
2,1,0.005469982529723702,0.9313634964604494,0.9345498790757496,0.9111457371498922,0.9119469812471626,0.8701715912588488,0.8727033657301839,0.71431594336719,0.7007136950384923,0.856749192059095,0.8549784802728971,0.6136672298113505
2,2,0.007204415612948143,0.9328062480763312,0.9356260461179908,0.9129347491535856,0.9121046102454036,0.8722876269621422,0.8738214072685427,0.7157009849184365,0.7010889421691566,0.858432402277624,0.8556602514502734,0.6032753910934716
2,3,0.002990836449012128,0.9326331178824254,0.9349554212121582,0.9117036011080333,0.9101527787408681,0.8721241151123423,0.8731768423000192,0.7160280086180364,0.7011392152021586,0.8581222106802093,0.854856064363801,0.6047572085731908
2,4,0.003832653160717983,0.9326715912588489,0.9352127892529845,0.9113188673437981,0.9102652323122141,0.8697964758387197,0.8716861799610705,0.7102377654662972,0.6936613460049209,0.856006174976916,0.8527063868827974,0.6048472962881389
2,5,0.0027350062656021396,0.9328254847645429,0.9360078785776208,0.9103666512773161,0.9096632785949121,0.8686422745460141,0.870034572717784,0.7089392890120036,0.6948207952161644,0.8551934248999691,0.8526316312766203,0.6129911290971857
2,6,0.005984045541862183,0.9326523545706371,0.9359091321343064,0.9098280240073868,0.9089474152112235,0.8697964758387196,0.8705527993987466,0.70939135118498,0.6965337682751666,0.8554170514004309,0.8529857787548608,0.6112364405079892
2,7,0.007006052874795535,0.9367112957833179,0.9398042099707872,0.9145313942751616,0.9138415676029406,0.8704120498614958,0.872115307443641,0.7059383656509696,0.6938095890857015,0.8568982763927362,0.8548926685257675,0.5915988610501874
2,8,0.002334421834242422,0.9355378578024008,0.9375528439623108,0.912915512465374,0.9109506927516892,0.8671802862419206,0.8676991938320688,0.7038608033240997,0.6860777175907211,0.8548736149584488,0.8505701120341975,0.6131952446803712
2,9,0.0014067586921026854,0.9351338873499538,0.9371328386263875,0.913069405971068,0.9115161759612591,0.8676612034472145,0.8695175829537718,0.7063904278239459,0.6985736470344146,0.8555637311480456,0.8541850611439582,0.6107850012026335
2,10,0.001207661836730928,0.9352493074792244,0.9373662576884325,0.9133194829178208,0.9118821486405344,0.8684018159433673,0.8701579928117034,0.7063904278239459,0.691323975109742,0.8558402585410896,0.852682593562603,0.6134837280239975
2,11,0.005253834660411379,0.9345952600800247,0.9380432722532452,0.9133002462296091,0.9131222046767756,0.8689019698368728,0.8715736453606625,0.7049957679285933,0.6974970271867803,0.855448311018775,0.8550590373693658,0.6165429677879601
2,12,0.003794905474341101,0.9323060941828256,0.9356709102422656,0.9089527546937519,0.9080216030560438,0.8683056325023084,0.8696749933090253,0.7061692059095106,0.6855489896724273,0.8539334218220991,0.8497291240699405,0.6585277067987543
2,13,0.002440502336888363,0.932267620806402,0.9362877677231453,0.9094721452754694,0.9087082423809347,0.8700946445060018,0.8722479479998292,0.7061499692212988,0.6877877191024291,0.854496094952293,0.8512579193015846,0.6317112790910822
2,14,0.0026315337477700626,0.933383348722684,0.9368337194499262,0.9103666512773162,0.9093823534039449,0.8698349492151431,0.8711920899014473,0.7060730224684517,0.6817332514420191,0.8549144929208987,0.8497853535493344,0.6414502451294347
2,15,0.002816847236021584,0.9335660972606957,0.9363168681475129,0.9109533702677747,0.9095548019262065,0.8698060941828255,0.8708268819774408,0.7088334872268389,0.6850025853207609,0.8557897622345336,0.8504252843429803,0.6610139399244074
2,16,0.004367490663943774,0.931555863342567,0.9339386311018908,0.9094721452754694,0.9079596436189618,0.8702100646352724,0.8720774222427081,0.7089969990766389,0.6846479768496496,0.855058768082487,0.8496559184533026,0.6458975662264907
2,17,0.0012350343405519515,0.9327966297322253,0.9352215932877105,0.9113477223761156,0.9101260626898037,0.8727396891351185,0.874587726500138,0.7109206678978148,0.691363135216756,0.8569511772853187,0.852824629423602,0.636313211499599
2,18,0.0021112188459969624,0.9311711295783318,0.9341041213731104,0.9084814558325637,0.9081486994817258,0.8689692982456141,0.8708882317718742,0.707881271160357,0.6841138377203347,0.8541257887042166,0.8493137225867613,0.6823046562964457
2,19,0.0007872270782468678,0.9322195290858726,0.9352543790879171,0.909818405663281,0.9097274181794622,0.870248538011696,0.8723622509824034,0.7078235610957218,0.6838854237908548,0.8550275084641429,0.8503073680101594,0.6643478326630174
2,20,0.00393462816601789,0.930449753770391,0.9334635148964736,0.9076638965835642,0.9069145141287432,0.8718355647891659,0.8739464195204221,0.7124596029547553,0.6960723022926033,0.8556022045244691,0.8525991877095606,0.6571755879803708
