fold,condition,generator_id,n,cent_to_real,cent_to_real_clean_space,within_disp,frac_nn_real,k5_real_frac,CLEAN_cent_to_real,CLEAN_frac_nn_real,CLEAN_k5_real_frac,euc_drift_mean,delta_z_mean
1,jpeg_q50,mllm::GPT_Image_2,726,0.39418502334139555,0.4216254134674836,0.5628918043893687,0.0,0.0049586776859504135,0.4216254134674836,0.0,0.006060606060606061,0.522631104540596,-3.0274606686613987
1,jpeg_q50,qwen::FLUX.2_max,100,0.36342455266829315,0.35426896272160174,0.4920628812647074,0.0,0.0,0.35426896272160174,0.0,0.0,0.49966823962817436,-2.5738428576470294
1,jpeg_q50,qwen::GPT-Image-1.5,100,0.37294607776631405,0.3639063433459452,0.4983182595269012,0.0,0.0,0.3639063433459452,0.0,0.0,0.49584376219654575,-2.3838323599378772
1,resize_112,mllm::GPT_Image_2,726,0.24781085081113324,0.4216254134674836,0.42452978547013387,0.0,0.005234159779614325,0.4216254134674836,0.0,0.006060606060606061,0.8153373154035398,1.9312805951887957
1,resize_112,qwen::FLUX.2_max,100,0.20599843447368263,0.35426896272160174,0.3596274320046165,0.0,0.002,0.35426896272160174,0.0,0.0,0.7739847964697926,3.369946065971581
1,resize_112,qwen::GPT-Image-1.5,100,0.21760664499773036,0.3639063433459452,0.35868959818862833,0.0,0.002,0.3639063433459452,0.0,0.0,0.7803954777694635,2.701173275092854
1,blur_sigma2,mllm::GPT_Image_2,726,0.3116185387676849,0.4216254134674836,0.4553239171434975,0.0,0.004132231404958678,0.4216254134674836,0.0,0.006060606060606061,0.40581214372528507,1.8380130339096858
1,blur_sigma2,qwen::FLUX.2_max,100,0.31830685073249243,0.35426896272160174,0.40239064768521926,0.0,0.002,0.35426896272160174,0.0,0.0,0.45115893903875653,2.922404222842277
1,blur_sigma2,qwen::GPT-Image-1.5,100,0.33178309330151695,0.3639063433459452,0.40073314465567156,0.0,0.002,0.3639063433459452,0.0,0.0,0.4527279562768389,2.696908248590944
1,screenshot_strong,mllm::GPT_Image_2,726,0.29423158374053265,0.4216254134674836,0.45429694965340683,0.0,0.0024793388429752068,0.4216254134674836,0.0,0.006060606060606061,0.6054432435250434,-1.1032481439629689
1,screenshot_strong,qwen::FLUX.2_max,100,0.29070885704108873,0.35426896272160174,0.39859772005269306,0.0,0.004,0.35426896272160174,0.0,0.0,0.515443593042689,-0.47841480905354183
1,screenshot_strong,qwen::GPT-Image-1.5,100,0.2951898043847926,0.3639063433459452,0.3990573343168938,0.0,0.0,0.3639063433459452,0.0,0.0,0.5253177743310586,-0.6548822975360231
2,jpeg_q50,mllm::Nano_Banana_2,725,0.3961459291363395,0.35980459983984076,0.6154752351745809,0.0,0.008827586206896552,0.35980459983984076,0.0,0.008,0.5127671118295711,-3.408390500117478
2,resize_112,mllm::Nano_Banana_2,725,0.2291366406136371,0.35980459983984076,0.482129623932459,0.0,0.015448275862068966,0.35980459983984076,0.0,0.008,0.9644631911629186,1.944543956596592
2,blur_sigma2,mllm::Nano_Banana_2,725,0.3449534710272382,0.35980459983984076,0.5769647068716718,0.0,0.006896551724137931,0.35980459983984076,0.0,0.008,0.4332415100538285,2.0741182764270354
2,screenshot_strong,mllm::Nano_Banana_2,725,0.2536815686492817,0.35980459983984076,0.5026232818507292,0.0,0.008275862068965517,0.35980459983984076,0.0,0.008,0.6995415290390664,0.2940496912673361
3,jpeg_q50,qwen::GPT-Image-1.5,100,0.4568712873264287,0.5312212414764537,0.5043987413809758,0.0,0.002,0.5312212414764537,0.0,0.0,0.5977216203789157,-4.2435596193526495
3,resize_112,qwen::GPT-Image-1.5,100,0.31351784087727264,0.5312212414764537,0.35789800807610606,0.0,0.0,0.5312212414764537,0.0,0.0,0.7488810924313631,2.3427705873934865
3,blur_sigma2,qwen::GPT-Image-1.5,100,0.5146192786771967,0.5312212414764537,0.4382203237579785,0.0,0.0,0.5312212414764537,0.0,0.0,0.39846129596918445,1.9436133270303313
3,screenshot_strong,qwen::GPT-Image-1.5,100,0.3639990146026197,0.5312212414764537,0.39868269426362496,0.0,0.0,0.5312212414764537,0.0,0.0,0.5324022865401219,0.14614878558808045
4,jpeg_q50,qwen::Seedream-5.0,100,0.4449625490254815,0.4714849659767059,0.5139890195086687,0.0,0.0,0.4714849659767059,0.0,0.002,0.48559147444347245,-2.659060046986133
4,resize_112,qwen::Seedream-5.0,100,0.2261641586952875,0.4714849659767059,0.38229162739312245,0.0,0.0,0.4714849659767059,0.0,0.002,0.8074363561263387,5.590876871638624
4,blur_sigma2,qwen::Seedream-5.0,100,0.36529548164155407,0.4714849659767059,0.42377241609583405,0.0,0.0,0.4714849659767059,0.0,0.002,0.4437444869009559,3.2552759168114567
4,screenshot_strong,qwen::Seedream-5.0,100,0.3406176464528626,0.4714849659767059,0.45232506968990216,0.0,0.0,0.4714849659767059,0.0,0.002,0.6037419812232023,0.9977718698399104
