comparison,scope,feature,group_a,n_a,mean_a,median_a,group_b,n_b,mean_b,median_b,cohens_d_a_minus_b,spearman_p_ai_vs_feature,spearman_pvalue
REAL_correct_vs_falseAI,COCO,mean_brightness,CORRECT_CONFIDENT_REAL,235,0.4583628053309089,0.4566788728772759,FALSE_AI_REAL,34,0.4297687735985938,0.4619185330382153,0.2380170530536293,-0.021680948005925,0.665514107767072
REAL_correct_vs_falseAI,COCO,std_brightness,CORRECT_CONFIDENT_REAL,235,0.2323174573086349,0.2337980800944032,FALSE_AI_REAL,34,0.2254102514661516,0.2349918060504315,0.125006632608304,0.0196315601972512,0.6954718898534484
REAL_correct_vs_falseAI,COCO,mean_saturation,CORRECT_CONFIDENT_REAL,235,0.2919894131189709,0.2732865802571028,FALSE_AI_REAL,34,0.3653136461386025,0.3461247389580831,-0.482463320529824,0.12253643584089,0.0141943427428222
REAL_correct_vs_falseAI,COCO,edge_density,CORRECT_CONFIDENT_REAL,235,0.1471144125868432,0.1432557397959183,FALSE_AI_REAL,34,0.0993538040216086,0.0900430484693877,0.7703987950179316,-0.3532677594706375,3.3562558064641057e-13
REAL_correct_vs_falseAI,COCO,sharpness,CORRECT_CONFIDENT_REAL,235,2777.4948667692724,2344.381039852204,FALSE_AI_REAL,34,1266.021097876865,974.1084766536889,0.767156229636362,-0.3648662179138619,4.851678104480511e-14
REAL_correct_vs_falseAI,COCO,entropy,CORRECT_CONFIDENT_REAL,235,7.3202956979911775,7.418220968730731,FALSE_AI_REAL,34,7.106842412863858,7.385144770838332,0.3823063599883284,-0.0002062512890705,0.9967190149461744
REAL_correct_vs_falseAI,COCO,high_frequency_ratio,CORRECT_CONFIDENT_REAL,235,0.1452094012294017,0.121877386644015,FALSE_AI_REAL,34,0.0910846870557897,0.0779295360486211,0.6627452682443898,-0.3170798567491047,8.585320563798823e-11
REAL_correct_vs_falseAI,COCO,width,CORRECT_CONFIDENT_REAL,235,569.8468085106383,640.0,FALSE_AI_REAL,34,562.3529411764706,640.0,0.0751391960135434,0.0018302460008615,0.9708913370143778
REAL_correct_vs_falseAI,COCO,height,CORRECT_CONFIDENT_REAL,235,494.5659574468085,480.0,FALSE_AI_REAL,34,486.4117647058824,480.0,0.0810555062111998,0.0782197219238016,0.1183133202259258
REAL_correct_vs_falseAI,COCO,aspect_ratio,CORRECT_CONFIDENT_REAL,235,1.2201216204440462,1.3333333333333333,FALSE_AI_REAL,34,1.1927012896207172,1.3333333333333333,0.0757318612988664,-0.0984319012381221,0.0491536114640181
REAL_correct_vs_falseAI,MLLM,mean_brightness,CORRECT_CONFIDENT_REAL,485,0.5742546655398628,0.5708910605648508,FALSE_AI_REAL,48,0.4991683804739343,0.5117731929099765,0.4688862605666855,-0.2137359033148402,6.012763587576523e-09
REAL_correct_vs_falseAI,MLLM,std_brightness,CORRECT_CONFIDENT_REAL,485,0.2095027130012278,0.2024160460037063,FALSE_AI_REAL,48,0.2340222869066602,0.2318085283394274,-0.326022861620914,0.203844200195763,3.0027454167670755e-08
REAL_correct_vs_falseAI,MLLM,mean_saturation,CORRECT_CONFIDENT_REAL,485,0.2114005196150625,0.1735967043067227,FALSE_AI_REAL,48,0.3002329642794618,0.2760370163690476,-0.5621868221687456,0.2432991964904146,3.0457051278985106e-11
REAL_correct_vs_falseAI,MLLM,edge_density,CORRECT_CONFIDENT_REAL,485,0.1239959877314327,0.1147759885204081,FALSE_AI_REAL,48,0.0982279874840561,0.0952845982142857,0.5484185493708403,-0.137410790097162,0.0002042512645488
REAL_correct_vs_falseAI,MLLM,sharpness,CORRECT_CONFIDENT_REAL,485,3580.076903149825,2819.4534239473073,FALSE_AI_REAL,48,2233.507845261503,1422.786463459846,0.4781941038936289,-0.0062682910480144,0.8661066481090794
REAL_correct_vs_falseAI,MLLM,entropy,CORRECT_CONFIDENT_REAL,485,6.514582453557217,6.722082591978033,FALSE_AI_REAL,48,6.777253606115097,7.0700644171390294,-0.2564283165834338,-0.0544610655328036,0.1426538511538385
REAL_correct_vs_falseAI,MLLM,high_frequency_ratio,CORRECT_CONFIDENT_REAL,485,0.2188367621751924,0.1637340771336876,FALSE_AI_REAL,48,0.1121523071282011,0.0985862219370135,0.6762243797018828,-0.1094101667435633,0.0031595223611625
REAL_correct_vs_falseAI,MLLM,width,CORRECT_CONFIDENT_REAL,485,720.059793814433,562.0,FALSE_AI_REAL,48,781.25,604.5,-0.1297544690206529,0.189287503307998,2.777278244659073e-07
REAL_correct_vs_falseAI,MLLM,height,CORRECT_CONFIDENT_REAL,485,861.2350515463918,502.0,FALSE_AI_REAL,48,935.7708333333334,500.0,-0.1092834113049972,0.0499773865641545,0.1785831512019037
REAL_correct_vs_falseAI,MLLM,aspect_ratio,CORRECT_CONFIDENT_REAL,485,0.9535987812418736,0.7515527950310559,FALSE_AI_REAL,48,1.0378196459421645,1.090833333333333,-0.2350481767485978,0.1439925740533961,9.884349262666582e-05
REAL_correct_vs_falseAI,Tiny-GenImage,mean_brightness,CORRECT_CONFIDENT_REAL,833,0.445312334275697,0.4497463533069477,FALSE_AI_REAL,56,0.446906761707194,0.4504124493547419,-0.0133210500283586,0.0107084600468022,0.7247105307198785
REAL_correct_vs_falseAI,Tiny-GenImage,std_brightness,CORRECT_CONFIDENT_REAL,833,0.1984256400798665,0.1975229055581034,FALSE_AI_REAL,56,0.1936233316446947,0.1972148463157911,0.0894982375741757,-0.061331722856782,0.0435011310378751
REAL_correct_vs_falseAI,Tiny-GenImage,mean_saturation,CORRECT_CONFIDENT_REAL,833,0.351112886443593,0.3321205044517807,FALSE_AI_REAL,56,0.3554776416705075,0.330757224764906,-0.0243046402983514,0.0137489339039779,0.6511456998544852
REAL_correct_vs_falseAI,Tiny-GenImage,edge_density,CORRECT_CONFIDENT_REAL,833,0.15971953992056,0.1473214285714285,FALSE_AI_REAL,56,0.115459297558309,0.0890365911989796,0.5004018120398408,-0.2049458529884773,9.603697740799039e-12
REAL_correct_vs_falseAI,Tiny-GenImage,sharpness,CORRECT_CONFIDENT_REAL,833,2839.3603499330006,1997.8064121038203,FALSE_AI_REAL,56,1627.549967278091,927.42729987268,0.4640660329479255,-0.2583313074408811,5.492795363439249e-18
REAL_correct_vs_falseAI,Tiny-GenImage,entropy,CORRECT_CONFIDENT_REAL,833,7.221073341106832,7.376554963366293,FALSE_AI_REAL,56,7.044874038387649,7.289148471997256,0.2975451671284955,-0.1753549323537199,6.1789723972155295e-09
REAL_correct_vs_falseAI,Tiny-GenImage,high_frequency_ratio,CORRECT_CONFIDENT_REAL,833,0.1788151744337127,0.1431568224721102,FALSE_AI_REAL,56,0.1296327674445474,0.084043703964064,0.4114665218339537,-0.1597879292169742,1.2310176922047433e-07
REAL_correct_vs_falseAI,Tiny-GenImage,width,CORRECT_CONFIDENT_REAL,833,501.06482593037214,500.0,FALSE_AI_REAL,56,451.5,500.0,0.2820937412343965,-0.0905036622667393,0.002859596726045
REAL_correct_vs_falseAI,Tiny-GenImage,height,CORRECT_CONFIDENT_REAL,833,397.6086434573829,375.0,FALSE_AI_REAL,56,379.1428571428572,375.0,0.1403636463259107,-0.1015953488504023,0.0008088383662297
