fold,condition,real_domain,n,dist_to_ai,CLEAN_dist_to_ai,frac_nn_ai,CLEAN_frac_nn_ai,k5_ai_frac,CLEAN_k5_ai_frac,euc_drift_mean,delta_z_mean
1,jpeg_q50,Tiny,250,0.5062175887107946,0.4088726917677423,0.0,0.0,0.1256,0.1184,0.7621698845107595,1.0698804541552258
1,jpeg_q50,MLLM,113,0.34572478742109863,0.4011453713818197,0.0,0.0,0.12035398230088495,0.09557522123893805,0.5380728112170962,-0.45709684936075334
1,jpeg_q50,COCO,60,0.43336628653668857,0.5140673299414659,0.0,0.0,0.023333333333333334,0.02666666666666667,0.5885157964177208,-0.32582757886999014
1,jpeg_q50,Smartphone,500,0.3896530447250005,0.3861730732213497,0.0,0.0,0.0124,0.0104,0.34699176074368965,-1.5497324753945128
1,resize_112,Tiny,250,0.20628488046230894,0.4088726917677423,0.0,0.0,0.3976,0.1184,0.8979594032014058,6.23958998943136
1,resize_112,MLLM,113,0.2035801294110463,0.4011453713818197,0.0,0.0,0.13805309734513274,0.09557522123893805,0.970750324937712,5.0778816999509
1,resize_112,COCO,60,0.20471125286754044,0.5140673299414659,0.0,0.0,0.13333333333333333,0.02666666666666667,1.0056172576172,6.496863507921697
1,resize_112,Smartphone,500,0.22465774636929597,0.3861730732213497,0.0,0.0,0.0084,0.0104,0.8619213110881441,5.579978206691197
1,blur_sigma2,Tiny,250,0.3468362680388282,0.4088726917677423,0.0,0.0,0.2912,0.1184,0.948868915858807,6.22101544143306
1,blur_sigma2,MLLM,113,0.26933092500207184,0.4011453713818197,0.0,0.0,0.13982300884955753,0.09557522123893805,0.7988072362500321,5.348626172717861
1,blur_sigma2,COCO,60,0.23916523588995742,0.5140673299414659,0.0,0.0,0.02,0.02666666666666667,1.0210842738351429,6.896607647733321
1,blur_sigma2,Smartphone,500,0.4423084268863572,0.3861730732213497,0.0,0.0,0.0136,0.0104,0.25805411810017437,1.8721432552781083
1,screenshot_strong,Tiny,250,0.33905487106141996,0.4088726917677423,0.0,0.0,0.3608,0.1184,0.6872479375327862,0.7760015148667503
1,screenshot_strong,MLLM,113,0.29859288148358465,0.4011453713818197,0.0,0.0,0.11150442477876106,0.09557522123893805,0.6939399031832821,0.5911642104425717
1,screenshot_strong,COCO,60,0.3038958722397651,0.5140673299414659,0.0,0.0,0.03333333333333333,0.02666666666666667,0.664143439649811,0.31056581131827427
1,screenshot_strong,Smartphone,500,0.2942650773185649,0.3861730732213497,0.0,0.0,0.008,0.0104,0.6081208737350217,1.9096327008461071
2,jpeg_q50,Tiny,250,0.6514934720131859,0.4416438204022165,0.0,0.0,0.0176,0.2088,0.8616619218560921,-0.49459734794485744
2,jpeg_q50,MLLM,113,0.3355681582540338,0.4061927194439417,0.0,0.0,0.15575221238938053,0.16283185840707964,0.5159541810409148,-0.858138575917423
2,jpeg_q50,COCO,60,0.4620638244643418,0.45476681831095306,0.0,0.0,0.0033333333333333335,0.02666666666666667,0.6837410996603062,-1.2680654812383738
2,jpeg_q50,Smartphone,500,0.6035137536782517,0.6435692730917405,0.0,0.0,0.0024,0.0036,0.2726108881701101,-1.6263768828694583
2,resize_112,Tiny,250,0.29338829477933154,0.4416438204022165,0.0,0.0,0.456,0.2088,0.7702533871168344,3.717177563065389
2,resize_112,MLLM,113,0.30501256211914796,0.4061927194439417,0.0,0.0,0.21946902654867256,0.16283185840707964,0.9637601061009169,4.027002428478171
2,resize_112,COCO,60,0.2769249951980764,0.45476681831095306,0.0,0.0,0.08,0.02666666666666667,0.940241674227234,5.7137651736523605
2,resize_112,Smartphone,500,0.43478439402180147,0.6435692730917405,0.0,0.0,0.002,0.0036,1.0055127128980597,4.956665653331976
2,blur_sigma2,Tiny,250,0.4927718886210183,0.4416438204022165,0.0,0.0,0.1456,0.2088,0.8397609474944168,4.7364799982217445
2,blur_sigma2,MLLM,113,0.3484857685964356,0.4061927194439417,0.0,0.0,0.13628318584070798,0.16283185840707964,0.7185751284540528,3.368468903512548
2,blur_sigma2,COCO,60,0.3640080717694509,0.45476681831095306,0.0,0.0,0.0033333333333333335,0.02666666666666667,0.9073569877917609,7.652240069829764
2,blur_sigma2,Smartphone,500,0.6309850887966562,0.6435692730917405,0.0,0.0,0.0036,0.0036,0.17703555768304433,0.9791150923151591
2,screenshot_strong,Tiny,250,0.42616533533505613,0.4416438204022165,0.0,0.0,0.1568,0.2088,0.7355569078981048,2.5809121682819414
2,screenshot_strong,MLLM,113,0.3060073871270039,0.4061927194439417,0.0,0.0,0.13628318584070798,0.16283185840707964,0.7377976987431863,2.6338430111545232
2,screenshot_strong,COCO,60,0.3647360743333802,0.45476681831095306,0.0,0.0,0.02666666666666667,0.02666666666666667,0.7222634167435831,3.0675704708237075
2,screenshot_strong,Smartphone,500,0.47974187147367814,0.6435692730917405,0.0,0.0,0.004,0.0036,0.7756304335862915,3.8301484542896453
3,jpeg_q50,Tiny,250,0.4214271855060405,0.3388509809584767,0.0,0.0,0.0856,0.1336,0.7953903311735369,-2.348199506723051
3,jpeg_q50,MLLM,113,0.5147822664120941,0.7156279299960823,0.0,0.0,0.0017699115044247787,0.0,0.559257419074413,0.6265978397174596
3,jpeg_q50,COCO,60,0.5062766328310842,0.7214554152042246,0.0,0.0,0.02,0.023333333333333334,0.6349788479353032,-0.2892560508309995
