architecture,trainable_params,mean_roc_auc,std_roc_auc,min_roc_auc,max_roc_auc,mean_ap,min_ap,mean_ai_recall,mean_real_specificity,mean_mllm_specificity,min_mllm_specificity,mean_smartphone_specificity,min_smartphone_specificity,mean_selected_epoch,eligible,eligibility_reason
MLP-A,65793,0.8304030510740722,0.027076331906813213,0.7906911029693525,0.8479200997842258,0.8773344701719384,0.7863810749168261,0.5180117511030475,0.9320151679306609,0.7765486725663717,0.6194690265486725,0.9835,0.98,23.25,True,PASS
MLP-B,147841,0.8368883943447861,0.02292819626065075,0.8029147679185309,0.8532382612073018,0.8838183799872856,0.8016426899644047,0.5369207795223621,0.9271397616468039,0.7809734513274336,0.49557522123893805,0.984,0.96,14.0,True,PASS
