fold,T,a,b,a_nonpositive_flag,platt_n_iter,platt_converged,temp_calibrated_nll_on_calib,temp_raw_nll_on_calib
1,9.324031824988959,0.6981277014147617,2.7884042923785954,False,11,True,0.6693717057595582,1.4618330186916788
2,6.688006608762378,0.7151602661099367,3.3281589530304734,False,11,True,0.6336525740950323,1.3395450494388657
3,6.226951479501055,0.7133875508256043,2.8893957942036668,False,12,True,0.6377064517698934,1.2203830577239505
4,8.286704586369362,0.6613394967368479,2.71569475676374,False,11,True,0.6620475737871152,1.4047665496045694
