architecture,fold,n,roc_auc,ap,balanced_accuracy,ai_recall,specificity,f1,fpr,tiny_specificity,mllm_specificity,coco_specificity,smartphone_specificity,selected_epoch,n_epochs_ran,train_loss_at_selected,val_loss_at_selected,overfit_gap_loss,pos_weight
MLP-A,1,2821,0.8356187216514618,0.9182846540806795,0.7224320634025438,0.4957850368809273,0.9490790899241603,0.6521136521136521,0.050920910075839654,0.9,0.8761061946902655,1.0,0.984,48,54,0.06538910898280904,4.8757853507995605,4.810396241816751,pos_weight=2.4769
MLP-A,2,2619,0.8473822798912489,0.9133792643994108,0.7190339515321245,0.49115566037735847,0.9469122426868906,0.6462373933281613,0.05308775731310943,0.904,0.8584070796460177,0.9833333333333333,0.984,20,21,0.13520647490278204,3.355849027633667,3.220642552730885,pos_weight=2.4754
MLP-A,3,1994,0.8479200997842258,0.8912928872908376,0.7693091682321177,0.6003734827264239,0.9382448537378115,0.7261434217955957,0.06175514626218852,0.924,0.7522123893805309,1.0,0.98,22,23,0.16847868173411398,2.416027545928955,2.247548864194841,pos_weight=2.1094
MLP-A,4,1709,0.7906911029693525,0.7863810749168261,0.689278654900631,0.4847328244274809,0.8938244853737811,0.6023715415019762,0.10617551462621885,0.812,0.6194690265486725,0.9833333333333333,0.986,3,15,0.3714187160993998,1.1664648056030273,0.7950460895036275,pos_weight=1.8496
MLP-B,1,2821,0.8460762141137333,0.9240304111146305,0.7317265023226822,0.5089567966280295,0.9544962080173348,0.6648313833448039,0.04550379198266522,0.92,0.8495575221238938,0.9833333333333333,0.992,21,33,0.027912180853432954,6.913087844848633,6.8851756639951995,pos_weight=2.4769
MLP-B,2,2619,0.8532382612073018,0.9181593696609941,0.7161005309797829,0.4722877358490566,0.9599133261105092,0.6322020520915549,0.04008667388949079,0.912,0.9292035398230089,0.9833333333333333,0.988,14,21,0.045796471365549145,5.811527729034424,5.765731257668874,pos_weight=2.4754
MLP-B,3,1994,0.8453243341395785,0.8914410492091132,0.7782582877860426,0.5901027077497666,0.9664138678223185,0.7289504036908881,0.03358613217768147,0.952,0.8495575221238938,1.0,0.996,20,22,0.036333461136867605,5.1254119873046875,5.08907852616782,pos_weight=2.1094
MLP-B,4,1709,0.8029147679185309,0.8016426899644047,0.7020357612498243,0.5763358778625954,0.8277356446370531,0.648068669527897,0.1722643553629469,0.684,0.49557522123893805,0.95,0.96,1,13,0.5953162602650431,1.0118650197982788,0.41654875953323567,pos_weight=1.8496
