fold,n,roc_auc,ap,accuracy,balanced_accuracy,precision,ai_recall,specificity,f1,fpr,smartphone_specificity,smartphone_fpr,smartphone_mean_p_ai,train_n_real,train_n_ai,class_weight,train_ratio_max_min,train_seconds,val_infer_seconds,train_n_total,val_n_total
1,2821,0.8185522309507528,0.8993963677472492,0.6483516483516484,0.7119577316374538,0.912568306010929,0.5279241306638567,0.8959913326110509,0.6688918558077437,0.10400866738894908,0.982,0.018,0.09836169332265854,4280,1728,balanced,2.4768518518518516,0.05110179100302048,0.0007868329994380474,6008,2821
2,2619,0.8375567264253152,0.8981780230379965,0.6582665139366171,0.7136759234653203,0.9074262461851476,0.5259433962264151,0.9014084507042254,0.665920119447555,0.09859154929577464,0.984,0.016,0.08918971568346024,4280,1729,balanced,2.475419317524581,0.026840666992939077,0.0006972499977564439,6009,2619
3,1994,0.8302717258806737,0.8653946306699165,0.7326980942828486,0.7423338421681421,0.8475452196382429,0.6125116713352008,0.8721560130010835,0.7111111111111111,0.12784398699891658,0.98,0.02,0.09692072868347168,4280,2029,balanced,2.1094135041892557,0.024355165995075367,0.0005536249955184758,6309,1994
4,1709,0.7735782477208131,0.7733149426423561,0.6928028086600351,0.6770777335770347,0.7636363636363637,0.48091603053435117,0.8732394366197183,0.5901639344262295,0.1267605633802817,0.98,0.02,0.09573327749967575,4280,2314,balanced,1.849611063094209,0.041998999993666075,0.0005055840010754764,6594,1709
