fold,mlp_arch,mlp_auc,logreg_auc,auc_diff,mlp_ap,logreg_ap,ap_diff,mlp_ai_recall,logreg_ai_recall,mlp_real_spec,logreg_real_spec,mlp_mllm_spec,logreg_mllm_spec,mlp_phone_spec,logreg_phone_spec
1,MLP-B,0.8460762141137333,0.822569689026597,0.023506525087136354,0.9240304111146305,0.9056298643850308,0.018400546729599676,0.5089567966280295,0.5184404636459431,0.9544962080173348,0.9154929577464789,0.8495575221238938,0.7168141592920354,0.992,0.986
2,MLP-B,0.8532382612073018,0.8449554365379506,0.008282824669351263,0.9181593696609941,0.9073740030562805,0.010785366604713631,0.4722877358490566,0.53125,0.9599133261105092,0.9219934994582882,0.9292035398230089,0.8141592920353983,0.988,0.988
3,MLP-B,0.8453243341395785,0.8378475984109787,0.007476735728599859,0.8914410492091132,0.8777183095421358,0.013722739666977346,0.5901027077497666,0.6162464985994398,0.9664138678223185,0.8927410617551462,0.8495575221238938,0.6106194690265486,0.996,0.98
4,MLP-B,0.8029147679185309,0.7743777206200602,0.02853704729847073,0.8016426899644047,0.7798920038082271,0.02175068615617759,0.5763358778625954,0.47837150127226463,0.8277356446370531,0.9035752979414952,0.49557522123893805,0.6637168141592921,0.96,0.984
