model,source_row,clean_auc,clean_ap,ai_recall,real_specificity,balanced_accuracy,mean_strongrobust_auc,mean_strongrobust_real_specificity,head_parameter_count,scientific_decision,context_note
Frozen CLIP LogReg,V2-5_CLIP_LogReg,0.8149897327443887,0.8590709910243797,0.5368238071899559,0.8856988082340194,0.7112613077119878,,,513,CLIP_BASELINE_PROMISING,V2 development eval macro; StrongRobust only where evaluated (H2/H3/H4)
Refined CLIP linear probe (C=3),V2-6_CLIP_LogReg_C3,0.8199376111488965,0.8676535451979186,0.5360771158794119,0.908450704225352,,,,513,LINEAR_PROBE_REFINED,V2 development eval macro; StrongRobust only where evaluated (H2/H3/H4)
Frozen CLIP + MLP-B,V2-7_CLIP_MLP-B,0.8368883943447861,0.8838183799872856,0.5369207795223621,0.927139761646804,,,,147841,MLP_MODEST_GAIN,V2 development eval macro; StrongRobust only where evaluated (H2/H3/H4)
LoRA + MLP-B,V2-8_LoRA_MLP-B,0.9031727720401306,0.9173675653928914,0.3860296665949639,0.977518959913326,,,,LoRA+MLP-B,LORA_MIXED,V2 development eval macro; StrongRobust only where evaluated (H2/H3/H4)
H2 balanced LogReg on R1,H2_R1_balanced_LogReg,0.9507478096532108,0.9575539391242048,0.5756023807341333,0.966955579631636,0.7712789801828847,0.7612754524420285,0.6358342361863488,513,HEAD_RESCUE_PROMISING / ROBUSTNESS_NOT_ACCEPTABLE,V2 development eval macro; StrongRobust only where evaluated (H2/H3/H4)
H3 equal-condition robust LogReg,H3_equal_condition_robust_LogReg,0.9183701535127649,0.921066852505938,0.543485746187902,0.9615384615384616,0.7525121038631818,0.8323839724728419,0.8867822318526544,513,ROBUST_HEAD_MIXED,V2 development eval macro; StrongRobust only where evaluated (H2/H3/H4)
H4 clean-anchored robust LogReg (FINAL),H4_clean_anchored_robust_LogReg,0.9263901084194186,0.9291294072277244,0.5249771485247796,0.9748104008667388,0.7498937746957592,0.8259320480728356,0.8833288190682557,513,FINAL_RESEARCH_MODEL_V2,V2 development eval macro; StrongRobust only where evaluated (H2/H3/H4)
