fold,generator_id,n,R0_centroid_euc_to_real,R1_centroid_euc_to_real,delta_centroid_euc_R1_minus_R0,R0_centroid_cos_to_real,R1_centroid_cos_to_real,R0_disp,R1_disp,R0_mean_nn_real_dist,R1_mean_nn_real_dist,R0_frac_nn_is_real,R1_frac_nn_is_real,R0_k5_local_real_frac,R1_k5_local_real_frac
1,mllm::GPT_Image_2,726,0.26962363088866154,0.4216254139783583,0.15200178308969675,0.08485396763688957,0.1312319849237471,0.7552674230463355,0.5327136245713384,0.6938379278222241,0.5837803517298312,0.015151515151515152,0.004132231404958678,0.041597796143250695,0.007713498622589532
1,qwen::FLUX.2_max,100,0.27118035585009187,0.3542689624546933,0.08308860660460143,0.07426562798677683,0.08502104868910898,0.6935353960277857,0.47382936626860855,0.7671787592695657,0.6421439367611284,0.0,0.0,0.018000000000000002,0.002
1,qwen::GPT-Image-1,100,0.27988113965184697,0.3900458849238427,0.11016474527199571,0.08007900366304743,0.10426987336941806,0.6968568893816474,0.4745849426248594,0.7819269078599637,0.6561640253232983,0.0,0.0,0.006000000000000001,0.002
1,qwen::GPT-Image-1.5,100,0.272938735945327,0.3639063427096379,0.09096760676431087,0.0768116579706899,0.091133211756381,0.6996603641362898,0.48401940675989974,0.7794272675607029,0.6524554544901576,0.0,0.0,0.01,0.0
1,qwen::Qwen-Image-2512,100,0.2659182279917727,0.3611047193406871,0.09518649134891438,0.07044248903977957,0.08656496174222605,0.6888607112909885,0.4572154497392865,0.7592311279534097,0.6287899673247758,0.0,0.0,0.018000000000000002,0.004
1,qwen::gpt-image-2,100,0.2927767862498115,0.35356789151416906,0.06079110526435755,0.09051580290285177,0.08603786214910347,0.7086567654248134,0.48565411100985484,0.7805807154060161,0.6473279309855257,0.0,0.01,0.014000000000000002,0.01
1,qwen::kling_v2_1,100,0.26276002766312706,0.36343201934231467,0.10067199167918761,0.07060250442543536,0.0879762869211207,0.6992600847964539,0.45880307396011005,0.7680081349491428,0.6362431935593237,0.0,0.0,0.028000000000000008,0.004
1,tiny::ADM,286,0.3535460202355142,0.44185239944049265,0.08830637920497847,0.09558498430988405,0.14176275714045683,0.5829295001833095,0.5203319217137988,0.6222171680689508,0.6379212741543101,0.06293706293706294,0.017482517482517484,0.0944055944055944,0.027972027972027972
1,tiny::SD15,286,0.3613160740753864,0.46167668145978963,0.10036060738440322,0.0913616215439702,0.1458325318221534,0.5492322598289983,0.46312453847109575,0.5048935814572364,0.5766754109494114,0.05244755244755245,0.0034965034965034965,0.12097902097902098,0.01188811188811189
2,mllm::Nano_Banana_2,725,0.2939557607490528,0.35980459981530377,0.065848839066251,0.10278293621854873,0.10911751859866758,0.7676757699244002,0.6183198829306892,0.7036650244983281,0.5970248461651428,0.05517241379310345,0.001379310344827586,0.09048275862068965,0.010758620689655173
2,qwen::GLM-Image,100,0.2907832540886003,0.5465488953129689,0.2557656412243686,0.08420432764572616,0.21901906283363237,0.6865978072836344,0.4925298029127079,0.7674912704059212,0.717336990032053,0.01,0.01,0.09399999999999999,0.013999999999999999
2,qwen::Seedream-4.0,100,0.26422488536341293,0.5488473095124602,0.28462242414904726,0.0710711542717094,0.2207499235858742,0.6965705007784362,0.49049255133266506,0.7667903821009294,0.7184511527746378,0.0,0.01,0.07400000000000001,0.016
2,qwen::nano-banana-2.0,100,0.28436133911169037,0.539821798750975,0.25546045963928465,0.08481766192188478,0.21378068753154222,0.7047864150093583,0.4933275641206666,0.7741287765646508,0.72529038909905,0.01,0.0,0.09600000000000002,0.008
2,qwen::nano-banana-pro,100,0.2707814480468406,0.5409936734491838,0.2702122254023432,0.07687898869782184,0.21670623043826798,0.706268399697563,0.5025097607852755,0.7776493009689741,0.7286924095614292,0.0,0.0,0.08,0.013999999999999999
2,tiny::BigGAN,286,0.37822989194176304,0.7516187861276159,0.37338889418585286,0.09265040725233786,0.40195289957523017,0.5160708037534567,0.43427875922693693,0.5860370216636487,0.6826133616050415,0.017482517482517484,0.0,0.03076923076923077,0.0
2,tiny::VQDM,285,0.34234089197968737,0.6331470029289459,0.2908061109492585,0.08654358709224408,0.29073861182403404,0.5784966366620274,0.4707300437717317,0.5842676145334543,0.5423353520632206,0.16842105263157894,0.02456140350877193,0.18877192982456142,0.04631578947368421
