n,specificity,fpr,mean_p_ai,median_p_ai,p50,p75,p90,p95,frac_pred_ai_050,fold
500,0.982,0.018,0.09836169332265854,0.055942513048648834,0.055942513048648834,0.12043403089046478,0.25306111574172974,0.34017905592918396,0.018,1
500,0.984,0.016,0.08918971568346024,0.04961496591567993,0.04961496591567993,0.10555011034011841,0.21946066617965698,0.33053094148635864,0.016,2
500,0.98,0.02,0.09692072868347168,0.05222158879041672,0.05222158879041672,0.12520305812358856,0.2350919395685196,0.3778516352176666,0.02,3
500,0.98,0.02,0.09573327749967575,0.05324135720729828,0.05324135720729828,0.12282348424196243,0.23011018335819244,0.34418946504592896,0.02,4
