fold,real_domain,n,R0_centroid_euc_to_ai,R1_centroid_euc_to_ai,delta_R1_minus_R0,R0_disp,R1_disp,R0_frac_nn_is_ai,R1_frac_nn_is_ai,R0_k5_local_ai_frac,R1_k5_local_ai_frac
1,Tiny,250,0.3550161775359844,0.40887269257812314,0.05385651504213873,0.6008034295356386,0.5152733220648811,0.54,0.10799999999999998,0.6527999999999999,0.15600000000000003
1,MLLM,113,0.3292998542489091,0.40114537177935783,0.07184551753044871,0.76762364489654,0.6444746894868555,0.7168141592920354,0.053097345132743334,0.7610619469026549,0.13628318584070798
1,COCO,60,0.26779666318445533,0.5140673323592783,0.24627066917482293,0.7050808331021603,0.47463182119581493,0.31666666666666665,0.01666666666666672,0.5166666666666666,0.036666666666666625
1,Smartphone,500,0.24678812928412353,0.38617307253703786,0.13938494325291434,0.7408745367808423,0.5165048924915862,0.20399999999999996,0.010000000000000009,0.2772,0.014000000000000012
2,Tiny,250,0.3353155729256794,0.4416438194665402,0.10632824654086082,0.6008034295356386,0.5167671856286994,0.45599999999999996,0.19199999999999995,0.5848,0.27279999999999993
2,MLLM,113,0.30787813218114446,0.406192718734022,0.09831458655287756,0.76762364489654,0.6484688588759269,0.8053097345132744,0.10619469026548678,0.8212389380530973,0.22477876106194694
2,COCO,60,0.2675044930833696,0.45476681997855173,0.18726232689518213,0.7050808331021603,0.5128917054521446,0.19999999999999996,0.01666666666666672,0.42000000000000015,0.029999999999999916
2,Smartphone,500,0.25519638341642803,0.6435692740592565,0.38837289064282843,0.7408745367808423,0.43858298454756234,0.18400000000000005,0.0040000000000000036,0.25439999999999985,0.0047999999999999154
3,Tiny,250,0.29666846411329323,0.33885098099764116,0.04218251688434793,0.6008034295356386,0.4758165312500887,0.508,0.11199999999999999,0.5935999999999999,0.17759999999999998
3,MLLM,113,0.45127873553399056,0.7156279290803891,0.2643491935463985,0.76762364489654,0.6233869371956625,0.07964601769911506,0.0,0.0938053097345134,0.0017699115044248481
3,COCO,60,0.29235127262758637,0.7214554167368099,0.42910414410922354,0.7050808331021603,0.47328160232864014,0.16666666666666663,0.01666666666666672,0.3800000000000001,0.029999999999999916
3,Smartphone,500,0.3144948436720366,0.7845495794241184,0.4700547357520818,0.7408745367808423,0.505845535661408,0.14600000000000002,0.0,0.19799999999999995,0.0032000000000000917
4,Tiny,250,0.3810488604000975,0.49097488448102056,0.10992602408092306,0.6008034295356386,0.5647884903169632,0.17600000000000005,0.04800000000000004,0.22560000000000002,0.06879999999999997
4,MLLM,113,0.44126211805410326,0.6198697461102601,0.17860762805615688,0.76762364489654,0.6028715656880606,0.07079646017699115,0.008849557522123908,0.09380530973451318,0.0070796460176990594
4,COCO,60,0.30240447750491356,0.5859996964154691,0.28359521891055556,0.7050808331021603,0.521805387027591,0.18333333333333335,0.033333333333333326,0.31666666666666665,0.036666666666666736
4,Smartphone,500,0.2892680858279423,0.5016360407217914,0.21236795489384908,0.7408745367808423,0.5535770632371663,0.14,0.010000000000000009,0.1884,0.01200000000000001
