C,fold,group,n,mean,median,p10,p25,p75,p90
3.0,1,Real::Tiny,250,0.26888006925582886,0.21291190385818481,0.04504126310348511,0.09972795844078064,0.3868691623210907,0.5832991003990173
3.0,2,Real::Tiny,250,0.2589417099952698,0.1973641812801361,0.024271221831440926,0.07671445608139038,0.3971322774887085,0.569247841835022
3.0,3,Real::Tiny,250,0.285667359828949,0.22895552217960358,0.052767928689718246,0.12187492847442627,0.4255070388317108,0.6038039922714233
3.0,4,Real::Tiny,250,0.2785925269126892,0.22793152928352356,0.042894396930933,0.10147225111722946,0.4341109097003937,0.6026461720466614
3.0,1,Real::MLLM,113,0.3454664349555969,0.3124677240848541,0.0397312305867672,0.11368841677904129,0.5315685868263245,0.7270737886428833
3.0,2,Real::MLLM,113,0.2579501271247864,0.18814072012901306,0.014641419053077698,0.050447728484869,0.38633298873901367,0.6585209965705872
3.0,3,Real::MLLM,113,0.38596174120903015,0.34545764327049255,0.03654775395989418,0.10449838638305664,0.6113531589508057,0.7800315022468567
3.0,4,Real::MLLM,113,0.3670644164085388,0.3010597229003906,0.0310659222304821,0.10004448890686035,0.5958934426307678,0.7788207530975342
3.0,1,Real::COCO,60,0.06209690496325493,0.033813849091529846,0.002816369291394949,0.010679461993277073,0.07052752375602722,0.13755205273628235
3.0,2,Real::COCO,60,0.07767339050769806,0.026983747258782387,0.0020577909890562296,0.010664034634828568,0.07228188216686249,0.2134995013475418
3.0,3,Real::COCO,60,0.07188507914543152,0.027797944843769073,0.003648956073448062,0.011189967393875122,0.06526943296194077,0.2065480351448059
3.0,4,Real::COCO,60,0.07696418464183807,0.030919525772333145,0.0031356792896986008,0.013588910922408104,0.09857258945703506,0.18837043642997742
3.0,1,Real::Smartphone,500,0.06907455623149872,0.026072658598423004,0.002807017881423235,0.008020194247364998,0.07199942320585251,0.1931391954421997
3.0,2,Real::Smartphone,500,0.06286654621362686,0.02067115530371666,0.002587709343060851,0.006228288169950247,0.0630573108792305,0.16677029430866241
3.0,3,Real::Smartphone,500,0.06834922730922699,0.023137331008911133,0.002179717645049095,0.005907961633056402,0.07172905653715134,0.17363134026527405
3.0,4,Real::Smartphone,500,0.06619920581579208,0.021992091089487076,0.0024218258913606405,0.006742475088685751,0.06646551936864853,0.17314401268959045
3.0,1,AI::legacy_heldout,572,0.7121151089668274,0.7556244134902954,0.3659888505935669,0.5496737957000732,0.9111884236335754,0.971140444278717
3.0,1,AI::modern_heldout,1326,0.40765297412872314,0.37668201327323914,0.03638005256652832,0.12036767601966858,0.667180061340332,0.8180681467056274
3.0,2,AI::legacy_heldout,571,0.6247783303260803,0.7113440632820129,0.16395455598831177,0.36005592346191406,0.8967239856719971,0.9579107165336609
3.0,2,AI::modern_heldout,1125,0.45235881209373474,0.45604944229125977,0.04201114922761917,0.16732220351696014,0.7187376618385315,0.8677265048027039
3.0,3,AI::legacy_heldout,571,0.8394570350646973,0.909125566482544,0.6268641948699951,0.800819993019104,0.9613088369369507,0.9786331057548523
3.0,3,AI::modern_heldout,500,0.3178273141384125,0.2354907989501953,0.024693574756383896,0.07164064794778824,0.5096734762191772,0.7745108008384705
3.0,4,AI::legacy_heldout,286,0.8041359782218933,0.8777033090591431,0.48638981580734253,0.7019101977348328,0.9690464735031128,0.9858590364456177
3.0,4,AI::modern_heldout,500,0.29311123490333557,0.19680160284042358,0.01648717373609543,0.05994660407304764,0.48329398036003113,0.7512439489364624
