domain,N,mean_calibrated_p_ai,mean_sharpness,median_sharpness,mean_edge_density,median_edge_density,mean_high_frequency_ratio,median_high_frequency_ratio,mean_entropy,median_entropy,mean_mean_brightness,median_mean_brightness,mean_mean_saturation,median_mean_saturation,mean_width,median_width,mean_height,median_height,mean_aspect_ratio,median_aspect_ratio,format_mode,format_counts
Tiny Real,1084,0.17310568410772434,2588.1490572539833,1747.4476192824695,0.15124632143563144,0.13649952168367346,0.1687202245916423,0.1358976830995333,7.1732791231776485,7.352420448086189,0.4470101576469351,0.4498595978235044,0.34804224892793834,0.3257670255602241,493.11162361623616,500.0,391.4151291512915,375.0,1.2990663128580109,1.3333333333333333,jpeg,"{""jpeg"": 1084}"
MLLM Real,726,0.23492445551751895,3847.1985265510325,2907.6034253556145,0.12121360359743072,0.11272321428571429,0.218917250180672,0.15615798654034876,6.332421158394585,6.7110473889119415,0.5495647521812186,0.5419590705032012,0.23537659801782285,0.1978489442652061,757.7162534435262,624.5,879.5358126721763,543.5,1.0002836003777917,0.8820538755710234,jpg,"{""jpg"": 414, ""jpeg"": 312}"
COCO Real,400,0.297786627972298,2365.997739463993,1934.8146117215156,0.1317188496492347,0.11989795918367346,0.12999860524401233,0.11217036483900632,7.317783774507273,7.423986533903721,0.4503060703728757,0.45330420316564124,0.3061878046140331,0.2819993231667667,567.815,640.0,497.57,480.0,1.2032045656662036,1.3333333333333333,jpg,"{""jpg"": 400}"
Legacy AI,1084,0.6646903449847651,1501.487193505025,959.5083548819109,0.11166608666644703,0.09202606823979592,0.1404438190223048,0.1022177759295742,6.840702055829056,7.11630481893906,0.4588430047963315,0.4578535067933423,0.3465481130903699,0.3260529211684674,532.6642066420665,512.0,532.6642066420665,512.0,1.0,1.0,png,"{""png"": 1084}"
GPT Image 2 (incl aliases),826,0.26645159866027535,3608.274363242342,2683.178583397561,0.12874022424117954,0.11819395727040816,0.19825557800192892,0.15658080400955227,6.53880578535211,6.742890117050254,0.5467208052792091,0.5538288758081358,0.25046561782627697,0.20738611850990396,1165.4358353510895,1086.0,1235.5096852300242,1290.0,0.9927400135410656,0.8697674418604651,png,"{""png"": 826}"
Nano Banana family,926,0.22152376069688576,4501.741047623826,3512.217850274019,0.14494366439205275,0.13293207908163265,0.21552607179496439,0.17482561520990053,6.782951658033842,7.0416058535936585,0.5371763895691409,0.5477664017169368,0.24572747784994128,0.22166667448229294,992.1987041036717,1024.0,1061.4568034557235,1024.0,0.9786689726565254,1.0,png,"{""png"": 767, ""jpeg"": 84, ""jpg"": 75}"
Qwen modern AI all,1800,0.3179840999982382,2378.908884593364,1832.886023121444,0.13764670581774377,0.12976323341836735,0.16167213022478405,0.13593733065283986,7.1508447103245985,7.4343892881467575,0.4741945924262066,0.44918917652998697,0.3294383991009598,0.32015013036464585,1024.0,1024.0,1024.0,1024.0,1.0,1.0,png,"{""png"": 1008, ""jpg"": 767, ""jpeg"": 25}"
Modern AI all,3252,0.2880167657819912,3251.965514450065,2372.3906694574684,0.13565713019813552,0.12651466836734693,0.18477044814965096,0.1487430160099969,6.885816773939522,7.1926166737318304,0.5108640598246381,0.5044211973461259,0.2864790567355094,0.2610149137780112,1050.8690036900368,1024.0,1088.3886838868389,1024.0,0.9920820171786171,1.0,png,"{""png"": 2369, ""jpg"": 774, ""jpeg"": 109}"
