fold,cos_w_h4_h2,cos_w_h4_h3,cos_w_h2_h3,angle_h4_h2,angle_h4_h3,cos_w_h2_s_clean,cos_w_h3_s_clean,cos_w_h4_s_clean,cos_w_h2_s_tfmean,cos_w_h3_s_tfmean,cos_w_h4_s_tfmean,cos_w_h4_s_CLEAN,cos_w_h4_s_jpeg_q50,cos_w_h4_s_resize_112,cos_w_h4_s_blur_sigma2,cos_w_h4_s_screenshot_strong,cos_w_h2_s_CLEAN,cos_w_h2_s_jpeg_q50,cos_w_h2_s_resize_112,cos_w_h2_s_blur_sigma2,cos_w_h2_s_screenshot_strong,cos_w_h3_s_CLEAN,cos_w_h3_s_jpeg_q50,cos_w_h3_s_resize_112,cos_w_h3_s_blur_sigma2,cos_w_h3_s_screenshot_strong
1,0.6328202379591201,0.9775605613827992,0.5758435761236028,50.7414975656398,12.160714601875837,0.8103135800485525,0.4127577056128245,0.43048843198275716,0.563916726081985,0.4916001372750122,0.47041285595639015,0.43048843198275716,0.4056268953078027,0.3954256164173852,0.30905524607781887,0.41509121819516526,0.8103135800485525,0.5040046356156908,0.48345007847403065,0.4552201661463263,0.36582699840163674,0.4127577056128245,0.4165812777644403,0.4179380181456614,0.3227123277295757,0.44181732923878314
2,0.658706743209583,0.9825492035779461,0.5875837425697195,48.798683893539845,10.719606713930915,0.6505377979092277,0.34489828898458535,0.37081030412563065,0.4778105123895678,0.3627773545417342,0.3595848142249487,0.37081030412563065,0.3526642772792348,0.32776690815721193,0.2700470858270439,0.2855797793750521,0.6505377979092277,0.4492784093174126,0.3782139566530266,0.4857653119606861,0.29965711614256085,0.34489828898458535,0.3497230379833219,0.3382320747896455,0.26777505991842576,0.29495256063446124
3,0.6247458463281492,0.9791697460973916,0.5529078585857415,51.336464319423946,11.714983457700162,0.7095720552136358,0.3520960331963547,0.3742294592161526,0.489704192209206,0.3836646909725095,0.36986472452275354,0.3742294592161526,0.3519048284331488,0.3520168534586261,0.27534586078660134,0.2815352938799778,0.7095720552136358,0.5432828138104263,0.23272448855028766,0.4467227870594965,0.3220858977005547,0.3520960331963547,0.3558215459237394,0.38426686427661005,0.2795203570081221,0.2991608921477992
4,0.599650498658537,0.980612300057738,0.5279334762152134,53.15512944521612,11.300689614942018,0.8176792042123625,0.39447230081721407,0.428378391856108,0.5401437618597046,0.4518617313334727,0.4443335475585887,0.428378391856108,0.3962824713585776,0.3939043100922548,0.3044874403477907,0.2981941912312327,0.8176792042123625,0.47207271385305904,0.3521885711591894,0.555070410914853,0.2455072653453648,0.39447230081721407,0.40064669846656814,0.4038016943855924,0.3057339709743616,0.30846335901224387
