domain,N,mean_raw_p_ai,median_raw_p_ai,mean_calibrated_p_ai,median_calibrated_p_ai,binary_fpr,specificity,likely_real_pct,uncertain_pct,likely_ai_pct,cal_p5,cal_p25,cal_p50,cal_p75,cal_p90,cal_p95
Tiny-GenImage Real,1084,0.1350418868951436,0.0059606437571346,0.17310568410772434,0.06374207456520464,0.11715867158671586,0.8828413284132841,76.8450184501845,17.988929889298895,5.166051660516605,0.0022387442193934704,0.016937398490063225,0.06374207456520464,0.23434538445766476,0.5495525692809723,0.7475499829889681
MLLM Real,726,0.18725129257529724,0.0258163096199353,0.23492445551751895,0.1293575516837698,0.19421487603305784,0.8057851239669421,66.80440771349862,26.584022038567497,6.6115702479338845,0.0096485222025684,0.04431636993562702,0.1293575516837698,0.3488364257621075,0.6415182851940147,0.8015787262650029
COCO Real,400,0.25682175223816384,0.07449720707239155,0.297786627972298,0.21028738906392053,0.28,0.72,58.75,32.75,8.5,0.011565845955210504,0.07362368409559095,0.21028738906392053,0.47430488390302683,0.7169645155796309,0.8446162385482817
