fold,T,raw_nll,temp_nll,raw_brier,temp_brier,raw_ece,temp_ece,n_calib,status,calib_class_changes_at_05
1,3.0311943356750146,0.7732032124040812,0.5972056527042814,0.26916602426716435,0.21023325552123973,0.3297540327135996,0.28558974258273195,2123,ok,0
2,1.7219922844073647,0.527316482441516,0.48935698800760363,0.17830245091793193,0.16734001699730286,0.2410114019287112,0.24074334686745033,2323,ok,0
3,2.461569245534604,0.6405945766516923,0.5224839195255585,0.21558040010559912,0.181768596276219,0.2893920462636421,0.278417153503691,2223,ok,0
4,3.2352558241312304,0.7950592040370975,0.5944833994714426,0.2745299165589394,0.20972630411478788,0.34209572544520855,0.304422775524746,2223,ok,0
