C,mean_roc_auc,std_roc_auc,min_roc_auc,max_roc_auc,mean_ap,std_ap,min_ap,mean_ai_recall,mean_real_specificity,mean_smartphone_specificity,min_smartphone_specificity,mean_mllm_specificity,min_mllm_specificity,mean_coco_specificity,mean_tiny_specificity,eligible,reason,selected
0.01,0.7212672606641393,0.031993318053689525,0.6988236462627593,0.7687280040221216,0.7674997066224216,0.052096627459709666,0.6927726323600752,0.47626712546051164,0.7321235102925244,0.9874999999999999,0.98,0.6814159292035399,0.45132743362831856,0.9083333333333334,0.20199999999999999,False,Real spec 0.7321 < baseline-0.02 (0.8657),False
0.03,0.7455220945806778,0.025764387808877465,0.7262356680698794,0.78269010746227,0.7886431707611385,0.05276806083789434,0.7134699245215039,0.48869316793767753,0.7600216684723727,0.9835,0.978,0.6017699115044248,0.3893805309734513,0.9333333333333332,0.343,False,MLLM spec 0.6018 < baseline-0.02 (0.6349); Real spec 0.7600 < baseline-0.02 (0.8657),False
0.1,0.779008879118187,0.02190127755748031,0.7514273348054662,0.8032670634161936,0.8190845735425791,0.05552173563605143,0.7401811448169511,0.5159874888304365,0.8125677139761647,0.984,0.98,0.5730088495575221,0.40707964601769914,0.9666666666666667,0.541,False,MLLM spec 0.5730 < baseline-0.02 (0.6349); Real spec 0.8126 < baseline-0.02 (0.8657),False
0.3,0.8022735052030228,0.024025494728855377,0.7681101287702727,0.8194718840949164,0.8427102504102891,0.05733335304436449,0.7605701757288287,0.5333496839294473,0.8553629469122427,0.982,0.978,0.6017699115044248,0.46017699115044247,0.975,0.688,False,MLLM spec 0.6018 < baseline-0.02 (0.6349); Real spec 0.8554 < baseline-0.02 (0.8657),False
1.0,0.8149897327443887,0.02869617281880758,0.7735782477208131,0.8375567264253152,0.8590709910243797,0.059300321003127716,0.7733149426423561,0.5368238071899559,0.8856988082340194,0.9814999999999999,0.98,0.6548672566371682,0.5752212389380531,0.9791666666666666,0.776,True,PASS all reliability guards,False
3.0,0.8199376111488965,0.03177677710676449,0.7743777206200602,0.8449554365379506,0.8676535451979186,0.060064696286250344,0.7798920038082271,0.5360771158794119,0.9084507042253521,0.9844999999999999,0.98,0.7013274336283185,0.6106194690265486,0.9833333333333334,0.832,True,PASS all reliability guards,True
10.0,0.822159275318805,0.03360234937282967,0.7737601967254694,0.8456114955334328,0.8714309544709663,0.06144190130737506,0.7810070511570659,0.529147305336378,0.9228060671722643,0.9804999999999999,0.978,0.75,0.6637168141592921,0.9958333333333333,0.868,True,PASS all reliability guards,False
