fold,metric,mean_diff,ci_low,ci_high,n_valid_boot
1,roc_auc_mlp_minus_logreg,0.02350007797453441,0.015927340406221298,0.031031467234141755,5000
1,ap_mlp_minus_logreg,0.018330719557201086,0.012699231292413399,0.024219345706661434,5000
1,specificity_overall_Real_mlp_minus_logreg,0.03895081256771398,0.022751895991332538,0.05525460455037923,5000
1,specificity_MLLM_Real_mlp_minus_logreg,0.13373982300884954,0.053097345132743334,0.22123893805309736,5000
1,specificity_Smartphone_Real_mlp_minus_logreg,0.005937200000000005,-0.006000000000000005,0.018000000000000016,5000
2,roc_auc_mlp_minus_logreg,0.008327528669841985,0.0009165661603874863,0.015813401362456275,5000
2,ap_mlp_minus_logreg,0.01074908119779546,0.004896002524602525,0.016670853862341094,5000
2,specificity_overall_Real_mlp_minus_logreg,0.03791029252437703,0.02383531960996743,0.05308775731310944,5000
2,specificity_MLLM_Real_mlp_minus_logreg,0.11578407079646019,0.053097345132743334,0.18584070796460173,5000
2,specificity_Smartphone_Real_mlp_minus_logreg,-4.280000000000004e-05,-0.010000000000000009,0.010000000000000009,5000
3,roc_auc_mlp_minus_logreg,0.007470045410724777,0.000439919557566576,0.014107394492647156,5000
3,ap_mlp_minus_logreg,0.013629081324864283,0.007316823152415525,0.02050018450323827,5000
3,specificity_overall_Real_mlp_minus_logreg,0.07355449620801732,0.05633802816901412,0.09209100758396527,5000
3,specificity_MLLM_Real_mlp_minus_logreg,0.23910265486725665,0.15929203539823,0.327433628318584,5000
3,specificity_Smartphone_Real_mlp_minus_logreg,0.015970800000000014,0.006000000000000005,0.028000000000000025,5000
4,roc_auc_mlp_minus_logreg,0.028493821177210065,0.022081407017166706,0.03501991101039593,5000
4,ap_mlp_minus_logreg,0.021716363264166087,0.015337593083305808,0.0284080953360326,5000
4,specificity_overall_Real_mlp_minus_logreg,-0.0755406283856988,-0.09425785482123505,-0.057421451787649014,5000
4,specificity_MLLM_Real_mlp_minus_logreg,-0.1681362831858407,-0.23893805309734517,-0.09734513274336282,5000
4,specificity_Smartphone_Real_mlp_minus_logreg,-0.024045600000000018,-0.040000000000000036,-0.010000000000000009,5000
