fold,metric,mean_diff,ci_low,ci_high,n_valid_boot
1,roc_auc_clip_minus_v1,0.26731666975745577,0.2357965142206421,0.2994545992069374,2000
1,smartphone_specificity_clip_minus_v1,0.280402,0.24,0.32199999999999995,2000
2,roc_auc_clip_minus_v1,0.35502718588703397,0.325459958248394,0.38495308456907795,2000
2,smartphone_specificity_clip_minus_v1,0.282238,0.242,0.32199999999999995,2000
3,roc_auc_clip_minus_v1,0.1498825382429499,0.12085772724989009,0.17842349460153162,2000
3,smartphone_specificity_clip_minus_v1,0.27823000000000003,0.238,0.31804999999999967,2000
4,roc_auc_clip_minus_v1,0.12601989830889282,0.09398939197061892,0.15686533840775022,2000
4,smartphone_specificity_clip_minus_v1,0.278374,0.238,0.31999999999999995,2000
