fold,metric,mean_diff,ci_low,ci_high,n_valid_boot
1,roc_auc_selected_minus_C1,0.00401973041132423,0.001375057510500316,0.0067974271828589745,5000
1,ap_selected_minus_C1,0.006233432625651739,0.004146555774817509,0.008492164906865078,5000
1,specificity_overall_Real_selected_minus_C1,0.01941235102925244,0.00975081256771404,0.029252437703141898,5000
1,specificity_MLLM_Real_selected_minus_C1,0.03528495575221239,0.0,0.07964601769911506,5000
1,specificity_Smartphone_Real_selected_minus_C1,0.003964400000000003,0.0,0.010000000000000009,5000
2,roc_auc_selected_minus_C1,0.007404023615568592,0.0045898577239927825,0.010301531613483529,5000
2,ap_selected_minus_C1,0.009175152544737199,0.006803197415106305,0.011655847950615259,5000
2,specificity_overall_Real_selected_minus_C1,0.020640086673889495,0.010834236186348933,0.030335861321776902,5000
2,specificity_MLLM_Real_selected_minus_C1,0.0615858407079646,0.02654867256637161,0.10619469026548678,5000
2,specificity_Smartphone_Real_selected_minus_C1,0.003951200000000004,0.0,0.010000000000000009,5000
3,roc_auc_selected_minus_C1,0.007583318311073076,0.004841441813272812,0.010329599517669031,5000
3,ap_selected_minus_C1,0.012291253120976137,0.0089921880535029,0.015840759546433086,5000
3,specificity_overall_Real_selected_minus_C1,0.02051267605633803,0.00975081256771404,0.031419284940411685,5000
3,specificity_MLLM_Real_selected_minus_C1,0.035486725663716814,0.008849557522123797,0.07079646017699115,5000
3,specificity_Smartphone_Real_selected_minus_C1,-6.400000000000005e-05,-0.01200000000000001,0.010049999999999282,5000
4,roc_auc_selected_minus_C1,0.0008177546390104155,-0.0022953487218082547,0.003956046909761529,5000
4,ap_selected_minus_C1,0.006574647181941005,0.0032822082247519896,0.010041709227861793,5000
4,specificity_overall_Real_selected_minus_C1,0.030243336944745392,0.019501625135427858,0.04225352112676062,5000
4,specificity_MLLM_Real_selected_minus_C1,0.053157522123893804,0.017699115044247815,0.09734513274336287,5000
4,specificity_Smartphone_Real_selected_minus_C1,0.003930400000000003,-0.0040000000000000036,0.01200000000000001,5000
