fold,n_aligned,clip_auc,v1_auc,auc_diff_clip_minus_v1,clip_ap,v1_ap,clip_real_specificity,v1_real_specificity,clip_ai_recall,v1_ai_recall,clip_smartphone_specificity,v1_smartphone_specificity,smartphone_spec_diff_clip_minus_v1
1,2245,0.8014846445824706,0.5347498274672188,0.2667348171152518,0.8674054781591519,0.6827900593722149,0.9130434782608695,0.7540372670807454,0.43472222222222223,0.27152777777777776,0.982,0.702,0.28
2,2272,0.8434706397896582,0.4885577953062616,0.3549128444833966,0.8965470553300146,0.6586323320134059,0.9267080745341615,0.7540372670807454,0.4662576687116564,0.22903885480572597,0.984,0.702,0.28200000000000003
3,1647,0.8110473436508756,0.6613844587716322,0.1496628848792434,0.8249973709272387,0.7271864729127129,0.8894409937888199,0.7540372670807454,0.5154394299287411,0.49406175771971494,0.98,0.702,0.278
4,1591,0.7961136661767263,0.670113634567667,0.12600003160905926,0.8084374332926965,0.7029306322325668,0.893167701863354,0.7540372670807454,0.48091603053435117,0.4910941475826972,0.98,0.702,0.278
